desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(14:55) 9-J.Burrow pass short right to 86-N.Fant to CIN 44 for 12 yards (33-R.Hickman).,pass,Half1,1,1,1.0,,1.0,0.0,12.0,0.0,0.0,0,,,
(14:20) (Shotgun) 30-C.Brown up the middle to CIN 43 for -1 yards (30-D.Bush).,run,Half1,1,1,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(13:09) (Shotgun) 30-C.Brown up the middle to CLE 47 for 5 yards (49-C.Schwesinger; 9-G.Delpit).,run,Half1,1,1,2.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(12:29) (Shotgun) 30-C.Brown right guard to CLE 46 for 1 yard (57-I.McGuire; 94-M.Graham).,run,Half1,1,1,3.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(11:52) (Shotgun) 9-J.Burrow pass incomplete short left to 86-N.Fant.,pass,Half1,1,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
"(11:47) (Shotgun) 30-C.Brown up the middle to CLE 40 for 6 yards (26-M.Harden, 98-A.Huntington).",run,Half1,1,1,2.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(11:07) (Shotgun) 9-J.Burrow pass short middle to 5-T.Higgins to CLE 27 for 13 yards (26-M.Harden).,pass,Half1,1,1,3.0,,1.0,0.0,13.0,0.0,0.0,0,,,
"(10:12) (Shotgun) 9-J.Burrow pass short right to 30-C.Brown to CLE 24 for 7 yards (30-D.Bush, 49-C.Schwesinger).",pass,Half1,1,1,1.0,,0.0,0.0,7.0,0.0,0.0,0,,,
"(9:30) (Shotgun) 9-J.Burrow pass short right to 1-J.Chase to CLE 18 for 6 yards (49-C.Schwesinger, 33-R.Hickman).",pass,Half1,1,1,2.0,,0.0,0.0,6.0,0.0,0.0,0,,,
(8:54) (Shotgun) 30-C.Brown right guard to CLE 13 for 5 yards (33-R.Hickman; 9-G.Delpit).,run,Half1,1,1,3.0,5.0,0.0,0.0,,0.0,0.0,0,,,
