pass_length,pass_location,air_yards,play_type,desc,side_of_field,yardline_100,posteam,interception,pass_touchdown,qtr,receiver_player_name,complete_pass,week
short,left,5.0,pass,(11:58) (Shotgun) 10-B.Nix pass short left to 85-L.Krull to DEN 41 for 6 yards (37-A.Hooker).,DEN,65.0,DEN,0.0,0.0,1.0,L.Krull,1.0,1
short,left,13.0,pass,(11:21) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin pushed ob at TEN 41 for 18 yards (38-L.Sneed).,DEN,59.0,DEN,0.0,0.0,1.0,T.Franklin,1.0,1
short,left,11.0,pass,(10:00) 10-B.Nix pass short left to 14-C.Sutton to TEN 26 for 12 yards (38-L.Sneed).,TEN,38.0,DEN,0.0,0.0,1.0,C.Sutton,1.0,1
short,left,5.0,pass,"(9:34) (No Huddle, Shotgun) 10-B.Nix pass short left to 82-A.Trautman to TEN 21 for 5 yards (38-L.Sneed).",TEN,26.0,DEN,0.0,0.0,1.0,A.Trautman,1.0,1
short,left,5.0,pass,(8:56) (Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton (38-L.Sneed).,TEN,21.0,DEN,0.0,0.0,1.0,C.Sutton,0.0,1
deep,left,21.0,pass,(8:53) (Shotgun) 10-B.Nix pass incomplete deep left to 28-T.Badie.,TEN,21.0,DEN,0.0,0.0,1.0,T.Badie,0.0,1
short,right,-5.0,pass,(8:47) (Shotgun) 10-B.Nix pass incomplete short right to 28-T.Badie.,TEN,21.0,DEN,0.0,0.0,1.0,T.Badie,0.0,1
short,left,4.0,pass,(8:43) (Shotgun) 10-B.Nix pass incomplete short left to 28-T.Badie [98-J.Simmons].,TEN,21.0,DEN,0.0,0.0,1.0,T.Badie,0.0,1
short,right,-1.0,pass,(4:32) (Shotgun) 10-B.Nix pass incomplete short right.,DEN,84.0,DEN,0.0,0.0,1.0,,0.0,1
short,middle,4.0,pass,(4:28) (Shotgun) 10-B.Nix pass short middle to 11-T.Franklin to DEN 22 for 6 yards (21-R.McCreary) [98-J.Simmons].,DEN,84.0,DEN,0.0,0.0,1.0,T.Franklin,1.0,1
short,left,-2.0,pass,(3:53) 10-B.Nix pass short left to 12-R.Harvey to DEN 21 for -1 yards (29-J.Brownlee).,DEN,78.0,DEN,0.0,0.0,1.0,R.Harvey,1.0,1
short,middle,4.0,pass,(3:11) (Shotgun) 10-B.Nix pass short middle to 1-E.Engram to DEN 26 for 5 yards (28-Q.Diggs).,DEN,79.0,DEN,0.0,0.0,1.0,E.Engram,1.0,1
short,middle,4.0,pass,(2:38) (Shotgun) 10-B.Nix pass short middle to 19-M.Mims to DEN 32 for 6 yards (33-C.Gray).,DEN,74.0,DEN,0.0,0.0,1.0,M.Mims,1.0,1
deep,left,30.0,pass,(:49) (Shotgun) 10-B.Nix pass deep left intended for 14-C.Sutton INTERCEPTED by 21-R.McCreary at TEN 46. 21-R.McCreary to TEN 46 for no gain (14-C.Sutton).,DEN,76.0,DEN,1.0,0.0,1.0,C.Sutton,0.0,1
short,right,4.0,pass,(13:15) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 37 for 5 yards (39-D.Baker).,DEN,68.0,DEN,0.0,0.0,2.0,T.Franklin,1.0,1
short,left,0.0,pass,(11:52) (Shotgun) 10-B.Nix pass incomplete short left to 28-T.Badie.,DEN,61.0,DEN,0.0,0.0,2.0,T.Badie,0.0,1
short,right,-3.0,pass,(9:29) (Shotgun) 10-B.Nix pass short right to 1-E.Engram to DEN 42 for 6 yards (33-C.Gray).,DEN,64.0,DEN,0.0,0.0,2.0,E.Engram,1.0,1
,,,pass,"(7:10) (Shotgun) 10-B.Nix sacked at DEN 40 for -8 yards (98-J.Simmons). FUMBLES (98-J.Simmons) [98-J.Simmons], RECOVERED by TEN-69-S.Joseph at DEN 38. 69-S.Joseph to DEN 38 for no gain (69-M.McGlinchey).",DEN,52.0,DEN,0.0,0.0,2.0,,0.0,1
short,middle,3.0,pass,(2:00) (Shotgun) 10-B.Nix pass short middle to 28-T.Badie to DEN 35 for 3 yards (21-R.McCreary).,DEN,68.0,DEN,0.0,0.0,2.0,T.Badie,1.0,1
short,left,5.0,pass,(1:30) (Shotgun) 10-B.Nix pass incomplete short left to 1-E.Engram (37-A.Hooker).,DEN,65.0,DEN,0.0,0.0,2.0,E.Engram,0.0,1
short,middle,-5.0,pass,(1:26) (Shotgun) 10-B.Nix pass short middle to 28-T.Badie to DEN 48 for 13 yards (21-R.McCreary; 28-Q.Diggs).,DEN,65.0,DEN,0.0,0.0,2.0,T.Badie,1.0,1
short,right,4.0,pass,"(:59) (No Huddle, Shotgun) 10-B.Nix pass incomplete short right to 85-L.Krull.",DEN,52.0,DEN,0.0,0.0,2.0,L.Krull,0.0,1
deep,left,22.0,pass,"(:22) (Shotgun) 10-B.Nix pass deep left to 14-C.Sutton for 22 yards, TOUCHDOWN.",TEN,22.0,DEN,0.0,1.0,2.0,C.Sutton,1.0,1
short,right,13.0,pass,(14:16) (Shotgun) 10-B.Nix pass short right intended for 11-T.Franklin INTERCEPTED by 25-X.Woods [98-J.Simmons] at DEN 42. 25-X.Woods ran ob at DEN 26 for 16 yards (77-Q.Meinerz; 60-L.Wattenberg).,DEN,71.0,DEN,1.0,0.0,3.0,T.Franklin,0.0,1
short,right,-3.0,pass,(11:14) (Shotgun) 10-B.Nix pass incomplete short right.,DEN,61.0,DEN,0.0,0.0,3.0,,0.0,1
short,right,4.0,pass,"(11:12) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 46 for 7 yards (29-J.Brownlee). PENALTY on TEN-29-J.Brownlee, Face Mask, 15 yards, enforced at DEN 46.",DEN,61.0,DEN,0.0,0.0,3.0,M.Mims,1.0,1
short,left,-2.0,pass,(10:35) (Shotgun) 10-B.Nix pass short left to 27-J.Dobbins to TEN 47 for 2 yards (21-R.McCreary).,TEN,49.0,DEN,0.0,0.0,3.0,J.Dobbins,1.0,1
short,left,6.0,pass,(9:02) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton pushed ob at TEN 28 for 8 yards (29-J.Brownlee).,TEN,36.0,DEN,0.0,0.0,3.0,C.Sutton,1.0,1
short,right,-2.0,pass,(6:23) 10-B.Nix pass short right to 5-T.Sherfield to TEN 15 for 3 yards (39-D.Baker).,TEN,18.0,DEN,0.0,0.0,3.0,T.Sherfield,1.0,1
short,middle,5.0,pass,(5:46) (Shotgun) 10-B.Nix pass short middle to 14-C.Sutton to TEN 10 for 5 yards (50-C.Barton).,TEN,15.0,DEN,0.0,0.0,3.0,C.Sutton,1.0,1
short,middle,-5.0,pass,(2:27) 10-B.Nix pass incomplete short middle [7-F.Oladejo].,DEN,69.0,DEN,0.0,0.0,3.0,,0.0,1
short,right,4.0,pass,(1:42) (Shotgun) 10-B.Nix pass short right to 1-E.Engram to DEN 43 for 10 yards (7-F.Oladejo; 39-D.Baker).,DEN,67.0,DEN,0.0,0.0,3.0,E.Engram,1.0,1
deep,left,19.0,pass,(:21) (Shotgun) 10-B.Nix pass incomplete deep left to 14-C.Sutton (29-J.Brownlee).,DEN,57.0,DEN,0.0,0.0,3.0,C.Sutton,0.0,1
short,right,0.0,pass,(:17) (Shotgun) 10-B.Nix pass short right to 46-A.Prentice to DEN 47 for 4 yards (39-D.Baker).,DEN,57.0,DEN,0.0,0.0,3.0,A.Prentice,1.0,1
short,left,3.0,pass,(8:24) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to TEN 19 for 6 yards (28-Q.Diggs). ** Injury Update: TEN-39-D.Baker has returned to the game.,TEN,25.0,DEN,0.0,0.0,4.0,C.Sutton,1.0,1
short,middle,14.0,pass,(6:35) (Shotgun) 10-B.Nix pass incomplete short middle to 11-T.Franklin.,DEN,63.0,DEN,0.0,0.0,4.0,T.Franklin,0.0,1
short,left,6.0,pass,"(5:48) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 47 for 9 yards (21-R.McCreary). Tennessee challenged the first down ruling, and the play was REVERSED. (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 46 for 8 yards (21-R.McCreary).",DEN,62.0,DEN,0.0,0.0,4.0,C.Sutton,1.0,1
short,left,-3.0,pass,"(3:26) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 33 for 15 yards (33-C.Gray). PENALTY on TEN-37-A.Hooker, Face Mask, 15 yards, enforced at DEN 33.",DEN,82.0,DEN,0.0,0.0,4.0,T.Franklin,1.0,1
short,right,-1.0,pass,"(3:13) 10-B.Nix pass short right to 27-J.Dobbins to TEN 41 for 8 yards (50-C.Barton). PENALTY on DEN-5-T.Sherfield, Offensive Holding, 10 yards, enforced at TEN 46.",TEN,49.0,DEN,0.0,0.0,4.0,J.Dobbins,1.0,1
short,right,-3.0,pass,"(2:58) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 47 for -1 yards (50-C.Barton). PENALTY on TEN-98-J.Simmons, Unnecessary Roughness, 15 yards, enforced at DEN 47.",DEN,52.0,DEN,0.0,0.0,4.0,M.Mims,1.0,1
deep,right,30.0,pass,(1:05) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete deep right to 19-M.Mims.,TEN,36.0,DEN,0.0,0.0,4.0,M.Mims,0.0,1
short,middle,1.0,pass,(9:53) 10-B.Nix pass short middle to 82-A.Trautman to IND 35 for 1 yard (48-J.Bachie).,IND,36.0,DEN,0.0,0.0,1.0,A.Trautman,1.0,2
short,left,5.0,pass,"(9:13) (No Huddle, Shotgun) 10-B.Nix pass short left to 13-P.Bryant to IND 23 for 12 yards (44-Z.Franklin).",IND,35.0,DEN,0.0,0.0,1.0,P.Bryant,1.0,2
deep,left,23.0,pass,"(8:30) (Shotgun) 10-B.Nix pass deep left to 19-M.Mims for 23 yards, TOUCHDOWN.",IND,23.0,DEN,0.0,1.0,1.0,M.Mims,1.0,2
deep,right,19.0,pass,(2:56) (Shotgun) 10-B.Nix pass incomplete deep right to 14-C.Sutton.,DEN,58.0,DEN,0.0,0.0,1.0,C.Sutton,0.0,2
short,left,-3.0,pass,(14:05) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 30 for -3 yards (23-K.Moore).,DEN,67.0,DEN,0.0,0.0,2.0,T.Franklin,1.0,2
deep,left,37.0,pass,"(13:39) (No Huddle, Shotgun) 10-B.Nix pass deep left to 11-T.Franklin ran ob at IND 28 for 42 yards.",DEN,70.0,DEN,0.0,0.0,2.0,T.Franklin,1.0,2
short,right,4.0,pass,(12:29) 10-B.Nix pass short right to 82-A.Trautman to IND 18 for 7 yards (29-M.Blackmon).,IND,25.0,DEN,0.0,0.0,2.0,A.Trautman,1.0,2
short,left,8.0,pass,(11:50) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 2 for 16 yards (0-C.Bynum).,IND,18.0,DEN,0.0,0.0,2.0,T.Franklin,1.0,2
short,right,2.0,pass,"(10:46) 10-B.Nix pass short right to 11-T.Franklin for 3 yards, TOUCHDOWN.",IND,3.0,DEN,0.0,1.0,2.0,T.Franklin,1.0,2
short,middle,3.0,pass,"(7:04) (No Huddle, Shotgun) 10-B.Nix pass short middle to 5-T.Sherfield to IND 36 for 3 yards (48-J.Bachie).",IND,39.0,DEN,0.0,0.0,2.0,T.Sherfield,1.0,2
short,left,3.0,pass,"(5:49) (Shotgun) 10-B.Nix pass short left to 13-P.Bryant to IND 29 for 6 yards (20-N.Cross; 4-X.Howard). Indianapolis challenged the first down ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",IND,35.0,DEN,0.0,0.0,2.0,P.Bryant,1.0,2
short,left,-1.0,pass,(5:19) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 26 for 3 yards (20-N.Cross; 4-X.Howard).,IND,29.0,DEN,0.0,0.0,2.0,T.Franklin,1.0,2
short,right,0.0,pass,(4:45) (Shotgun) 10-B.Nix pass incomplete short right to 27-J.Dobbins (44-Z.Franklin).,IND,26.0,DEN,0.0,0.0,2.0,J.Dobbins,0.0,2
short,right,3.0,pass,(3:52) (Shotgun) 10-B.Nix pass incomplete short right to 14-C.Sutton.,IND,3.0,DEN,0.0,0.0,2.0,C.Sutton,0.0,2
short,right,2.0,pass,"(3:06) (Shotgun) 63-A.Palczewski reported in as eligible. 10-B.Nix pass short right to 82-A.Trautman for 2 yards, TOUCHDOWN.",IND,2.0,DEN,0.0,1.0,2.0,A.Trautman,1.0,2
short,middle,3.0,pass,(1:25) (Shotgun) 10-B.Nix pass short middle to 11-T.Franklin to DEN 36 for 4 yards (20-N.Cross).,DEN,68.0,DEN,0.0,0.0,2.0,T.Franklin,1.0,2
short,left,-6.0,pass,"(1:00) (No Huddle, Shotgun) 10-B.Nix pass short left to 28-T.Badie to DEN 36 for no gain (44-Z.Franklin).",DEN,64.0,DEN,0.0,0.0,2.0,T.Badie,1.0,2
deep,middle,18.0,pass,"(:33) (No Huddle, Shotgun) 10-B.Nix pass incomplete deep middle to 11-T.Franklin.",DEN,64.0,DEN,0.0,0.0,2.0,T.Franklin,0.0,2
short,right,-5.0,pass,(14:18) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 46 for 1 yard (20-N.Cross).,DEN,55.0,DEN,0.0,0.0,3.0,M.Mims,1.0,2
