Description,Throw Depth,Pass Location,Complete Pass
(12:04) (SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 17-D.VELE TO CIN 20 FOR 16 YARDS (28-J.NEWTON).,Short,Middle,1
(13:18) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 38-J.MCLAUGHLIN PUSHED OB AT CIN 38 FOR 3 YARDS (29-C.TAYLOR-BRITT).,Short,Left,1
(6:15) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 19-M.MIMS PUSHED OB AT CIN 40 FOR 9 YARDS (28-J.NEWTON).,Short,Left,1
(12:55) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 19-M.MIMS PUSHED OB AT LAC 1 FOR 1 YARD (7-K.FULTON).,Short,Left,1
(2:57) 10-B.NIX PASS SHORT LEFT TO 33-J.WILLIAMS TO DEN 46 FOR -6 YARDS (92-B.HILL).,Short,Left,1
"(:14) (SHOTGUN) 10-B.NIX PASS DEEP RIGHT TO 19-M.MIMS FOR 25 YARDS, TOUCHDOWN [52-C.JOHNSON]. THE REPLAY OFFICIAL REVIEWED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",Deep,Right,1
(10:01) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 25-B.WATSON [45-T.TUIPULOTU].,Short,Right,0
"(5:54) (SHOTGUN) 10-B.NIX PASS DEEP RIGHT TO 14-C.SUTTON FOR 20 YARDS, TOUCHDOWN.",Deep,Right,1
(8:51) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT MIDDLE TO 16-T.FRANKLIN (90-G.STEWART).,Short,Middle,0
"(6:14) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS INCOMPLETE DEEP LEFT TO 14-C.SUTTON. PENALTY ON IND-40-J.JONES, DEFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT IND 23 - NO PLAY.",Deep,Left,0
(7:23) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 19-M.MIMS TO IND 30 FOR 11 YARDS (45-E.SPEED).,Short,Left,1
(8:13) 10-B.NIX PASS INCOMPLETE SHORT RIGHT.,Short,Right,0
"(13:58) (SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 45-N.ADKINS FOR 15 YARDS, TOUCHDOWN.",Short,Middle,1
(14:01) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 16-T.FRANKLIN.,Short,Right,0
(1:17) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT LEFT TO 14-C.SUTTON.,Short,Left,0
(1:25) (SHOTGUN) 10-B.NIX PASS INCOMPLETE DEEP RIGHT TO 14-C.SUTTON.,Deep,Right,0
(8:11) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT LEFT TO 14-C.SUTTON (40-J.JONES).,Short,Left,0
"(7:58) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 25-B.WATSON RAN OB AT LAC 6 FOR 13 YARDS (23-T.JEFFERSON). PENALTY ON LAC-23-T.JEFFERSON, UNNECESSARY ROUGHNESS, 3 YARDS, ENFORCED AT LAC 6.",Short,Right,1
(10:18) 10-B.NIX PASS SHORT RIGHT TO 45-N.ADKINS PUSHED OB AT LAC 24 FOR 13 YARDS (6-D.PERRYMAN).,Short,Right,1
"(5:34) (SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 14-C.SUTTON FOR 2 YARDS, TOUCHDOWN.",Short,Middle,1
(15:00) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 33-J.WILLIAMS TO LV 26 FOR 5 YARDS (7-T.MOEHRIG).,Short,Left,1
(1:03) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 33-J.WILLIAMS TO LV 36 FOR 1 YARD (41-R.SPILLANE).,Short,Left,1
"(1:07) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT MIDDLE TO 82-A.TRAUTMAN.",Short,Middle,0
(4:47) 10-B.NIX PASS SHORT LEFT TO 82-A.TRAUTMAN TO LV 11 FOR 3 YARDS (49-C.SNOWDEN).,Short,Left,1
(3:52) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT LEFT TO 38-J.MCLAUGHLIN.,Short,Left,0
(7:36) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 14-C.SUTTON PUSHED OB AT CLE 18 FOR 7 YARDS (12-R.MCLEOD).,Short,Right,1
(8:25) (SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 85-L.KRULL TO CLE 25 FOR 5 YARDS (58-J.HICKS).,Short,Middle,1
"(9:03) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 14-C.SUTTON TO CLE 30 FOR 17 YARDS (23-M.EMERSON).",Short,Right,1
(5:34) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 14-C.SUTTON PUSHED OB AT CLE 18 FOR 8 YARDS (23-M.EMERSON).,Short,Left,1
(5:36) 79-M.PEART REPORTED IN AS ELIGIBLE.  10-B.NIX PASS INCOMPLETE SHORT LEFT TO 17-D.VELE.,Short,Left,0
"(6:55) (NO HUDDLE) 10-B.NIX PASS SHORT RIGHT TO 38-J.MCLAUGHLIN FOR 9 YARDS, TOUCHDOWN.",Short,Right,1
"(12:34) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 45-N.ADKINS FOR 3 YARDS, TOUCHDOWN.",Short,Left,1
"(13:33) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 84-L.HUMPHREY TO CAR 2 FOR 6 YARDS (2-M.JACKSON).",Short,Right,1
(14:08) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 17-D.VELE TO CAR 8 FOR 3 YARDS (26-C.SMITH-WADE).,Short,Left,1
(3:01) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 14-C.SUTTON (8-J.HORN).,Short,Right,0
(4:45) 10-B.NIX PASS INCOMPLETE DEEP RIGHT TO 33-J.WILLIAMS.,Deep,Right,0
"(5:27) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 14-C.SUTTON FOR 15 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",Short,Right,1
