desc,receiver_player_name,down,ydstogo,qtr,pass_location,pass_length,air_yards,yardline_100,side_of_field,complete_pass,yards_gained,touchdown,interception,passer_player_name
(11:58) (Shotgun) 10-B.Nix pass short left to 85-L.Krull to DEN 41 for 6 yards (37-A.Hooker).,L.Krull,1.0,10,1,left,short,5.0,65,DEN,1.0,6.0,0.0,0.0,B.Nix
(11:21) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin pushed ob at TEN 41 for 18 yards (38-L.Sneed).,T.Franklin,2.0,4,1,left,short,13.0,59,DEN,1.0,18.0,0.0,0.0,B.Nix
(10:00) 10-B.Nix pass short left to 14-C.Sutton to TEN 26 for 12 yards (38-L.Sneed).,C.Sutton,2.0,7,1,left,short,11.0,38,TEN,1.0,12.0,0.0,0.0,B.Nix
"(9:34) (No Huddle, Shotgun) 10-B.Nix pass short left to 82-A.Trautman to TEN 21 for 5 yards (38-L.Sneed).",A.Trautman,1.0,10,1,left,short,5.0,26,TEN,1.0,5.0,0.0,0.0,B.Nix
(8:56) (Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton (38-L.Sneed).,C.Sutton,2.0,5,1,left,short,5.0,21,TEN,0.0,0.0,0.0,0.0,B.Nix
(8:53) (Shotgun) 10-B.Nix pass incomplete deep left to 28-T.Badie.,T.Badie,1.0,15,1,left,deep,21.0,21,TEN,0.0,0.0,0.0,0.0,B.Nix
(8:47) (Shotgun) 10-B.Nix pass incomplete short right to 28-T.Badie.,T.Badie,2.0,15,1,right,short,-5.0,21,TEN,0.0,0.0,0.0,0.0,B.Nix
(8:43) (Shotgun) 10-B.Nix pass incomplete short left to 28-T.Badie [98-J.Simmons].,T.Badie,3.0,15,1,left,short,4.0,21,TEN,0.0,0.0,0.0,0.0,B.Nix
(4:32) (Shotgun) 10-B.Nix pass incomplete short right.,,2.0,2,1,right,short,-1.0,84,DEN,0.0,0.0,0.0,0.0,B.Nix
(4:28) (Shotgun) 10-B.Nix pass short middle to 11-T.Franklin to DEN 22 for 6 yards (21-R.McCreary) [98-J.Simmons].,T.Franklin,3.0,2,1,middle,short,4.0,84,DEN,1.0,6.0,0.0,0.0,B.Nix
(3:53) 10-B.Nix pass short left to 12-R.Harvey to DEN 21 for -1 yards (29-J.Brownlee).,R.Harvey,1.0,10,1,left,short,-2.0,78,DEN,1.0,-1.0,0.0,0.0,B.Nix
(3:11) (Shotgun) 10-B.Nix pass short middle to 1-E.Engram to DEN 26 for 5 yards (28-Q.Diggs).,E.Engram,2.0,11,1,middle,short,4.0,79,DEN,1.0,5.0,0.0,0.0,B.Nix
(2:38) (Shotgun) 10-B.Nix pass short middle to 19-M.Mims to DEN 32 for 6 yards (33-C.Gray).,M.Mims,3.0,6,1,middle,short,4.0,74,DEN,1.0,6.0,0.0,0.0,B.Nix
(:49) (Shotgun) 10-B.Nix pass deep left intended for 14-C.Sutton INTERCEPTED by 21-R.McCreary at TEN 46. 21-R.McCreary to TEN 46 for no gain (14-C.Sutton).,C.Sutton,2.0,18,1,left,deep,30.0,76,DEN,0.0,0.0,0.0,1.0,B.Nix
(13:15) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 37 for 5 yards (39-D.Baker).,T.Franklin,1.0,10,2,right,short,4.0,68,DEN,1.0,5.0,0.0,0.0,B.Nix
(11:52) (Shotgun) 10-B.Nix pass incomplete short left to 28-T.Badie.,T.Badie,3.0,3,2,left,short,0.0,61,DEN,0.0,0.0,0.0,0.0,B.Nix
(9:29) (Shotgun) 10-B.Nix pass short right to 1-E.Engram to DEN 42 for 6 yards (33-C.Gray).,E.Engram,1.0,10,2,right,short,-3.0,64,DEN,1.0,6.0,0.0,0.0,B.Nix
"(7:10) (Shotgun) 10-B.Nix sacked at DEN 40 for -8 yards (98-J.Simmons). FUMBLES (98-J.Simmons) [98-J.Simmons], RECOVERED by TEN-69-S.Joseph at DEN 38. 69-S.Joseph to DEN 38 for no gain (69-M.McGlinchey).",,2.0,9,2,,,,52,DEN,0.0,-10.0,0.0,0.0,B.Nix
(2:00) (Shotgun) 10-B.Nix pass short middle to 28-T.Badie to DEN 35 for 3 yards (21-R.McCreary).,T.Badie,2.0,5,2,middle,short,3.0,68,DEN,1.0,3.0,0.0,0.0,B.Nix
(1:30) (Shotgun) 10-B.Nix pass incomplete short left to 1-E.Engram (37-A.Hooker).,E.Engram,1.0,15,2,left,short,5.0,65,DEN,0.0,0.0,0.0,0.0,B.Nix
(1:26) (Shotgun) 10-B.Nix pass short middle to 28-T.Badie to DEN 48 for 13 yards (21-R.McCreary; 28-Q.Diggs).,T.Badie,2.0,15,2,middle,short,-5.0,65,DEN,1.0,13.0,0.0,0.0,B.Nix
"(:59) (No Huddle, Shotgun) 10-B.Nix pass incomplete short right to 85-L.Krull.",L.Krull,3.0,2,2,right,short,4.0,52,DEN,0.0,0.0,0.0,0.0,B.Nix
"(:22) (Shotgun) 10-B.Nix pass deep left to 14-C.Sutton for 22 yards, TOUCHDOWN.",C.Sutton,1.0,10,2,left,deep,22.0,22,TEN,1.0,22.0,1.0,0.0,B.Nix
(14:16) (Shotgun) 10-B.Nix pass short right intended for 11-T.Franklin INTERCEPTED by 25-X.Woods [98-J.Simmons] at DEN 42. 25-X.Woods ran ob at DEN 26 for 16 yards (77-Q.Meinerz; 60-L.Wattenberg).,T.Franklin,2.0,4,3,right,short,13.0,71,DEN,0.0,0.0,0.0,1.0,B.Nix
(11:14) (Shotgun) 10-B.Nix pass incomplete short right.,,2.0,8,3,right,short,-3.0,61,DEN,0.0,0.0,0.0,0.0,B.Nix
"(11:12) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 46 for 7 yards (29-J.Brownlee). PENALTY on TEN-29-J.Brownlee, Face Mask, 15 yards, enforced at DEN 46.",M.Mims,3.0,8,3,right,short,4.0,61,DEN,1.0,7.0,0.0,0.0,B.Nix
(10:35) (Shotgun) 10-B.Nix pass short left to 27-J.Dobbins to TEN 47 for 2 yards (21-R.McCreary).,J.Dobbins,1.0,20,3,left,short,-2.0,49,TEN,1.0,2.0,0.0,0.0,B.Nix
(9:02) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton pushed ob at TEN 28 for 8 yards (29-J.Brownlee).,C.Sutton,3.0,7,3,left,short,6.0,36,TEN,1.0,8.0,0.0,0.0,B.Nix
(6:23) 10-B.Nix pass short right to 5-T.Sherfield to TEN 15 for 3 yards (39-D.Baker).,T.Sherfield,1.0,10,3,right,short,-2.0,18,TEN,1.0,3.0,0.0,0.0,B.Nix
(5:46) (Shotgun) 10-B.Nix pass short middle to 14-C.Sutton to TEN 10 for 5 yards (50-C.Barton).,C.Sutton,2.0,7,3,middle,short,5.0,15,TEN,1.0,5.0,0.0,0.0,B.Nix
(2:27) 10-B.Nix pass incomplete short middle [7-F.Oladejo].,,1.0,10,3,middle,short,-5.0,69,DEN,0.0,0.0,0.0,0.0,B.Nix
(1:42) (Shotgun) 10-B.Nix pass short right to 1-E.Engram to DEN 43 for 10 yards (7-F.Oladejo; 39-D.Baker).,E.Engram,3.0,8,3,right,short,4.0,67,DEN,1.0,10.0,0.0,0.0,B.Nix
(:21) (Shotgun) 10-B.Nix pass incomplete deep left to 14-C.Sutton (29-J.Brownlee).,C.Sutton,2.0,10,3,left,deep,19.0,57,DEN,0.0,0.0,0.0,0.0,B.Nix
(:17) (Shotgun) 10-B.Nix pass short right to 46-A.Prentice to DEN 47 for 4 yards (39-D.Baker).,A.Prentice,3.0,10,3,right,short,0.0,57,DEN,1.0,4.0,0.0,0.0,B.Nix
(8:24) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to TEN 19 for 6 yards (28-Q.Diggs). ** Injury Update: TEN-39-D.Baker has returned to the game.,C.Sutton,2.0,5,4,left,short,3.0,25,TEN,1.0,6.0,0.0,0.0,B.Nix
(6:35) (Shotgun) 10-B.Nix pass incomplete short middle to 11-T.Franklin.,T.Franklin,1.0,10,4,middle,short,14.0,63,DEN,0.0,0.0,0.0,0.0,B.Nix
"(5:48) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 47 for 9 yards (21-R.McCreary). Tennessee challenged the first down ruling, and the play was REVERSED. (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 46 for 8 yards (21-R.McCreary).",C.Sutton,3.0,9,4,left,short,6.0,62,DEN,1.0,8.0,0.0,0.0,B.Nix
