desc,play_type,qtr,ydstogo,ydsnet,yardline_100,half_seconds_remaining,quarter_seconds_remaining,game_half
(11:58) (Shotgun) 10-B.Nix pass short left to 85-L.Krull to DEN 41 for 6 yards (37-A.Hooker).,pass,1,10,44,65,1618,718,Half1
(11:21) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin pushed ob at TEN 41 for 18 yards (38-L.Sneed).,pass,1,4,44,59,1581,681,Half1
(10:00) 10-B.Nix pass short left to 14-C.Sutton to TEN 26 for 12 yards (38-L.Sneed).,pass,1,7,44,38,1500,600,Half1
"(9:34) (No Huddle, Shotgun) 10-B.Nix pass short left to 82-A.Trautman to TEN 21 for 5 yards (38-L.Sneed).",pass,1,10,44,26,1474,574,Half1
(8:56) (Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton (38-L.Sneed).,pass,1,5,44,21,1436,536,Half1
(8:53) (Shotgun) 10-B.Nix pass incomplete deep left to 28-T.Badie.,pass,1,15,44,21,1433,533,Half1
(8:47) (Shotgun) 10-B.Nix pass incomplete short right to 28-T.Badie.,pass,1,15,44,21,1427,527,Half1
(8:43) (Shotgun) 10-B.Nix pass incomplete short left to 28-T.Badie [98-J.Simmons].,pass,1,15,44,21,1423,523,Half1
(4:32) (Shotgun) 10-B.Nix pass incomplete short right.,pass,1,2,16,84,1172,272,Half1
(4:28) (Shotgun) 10-B.Nix pass short middle to 11-T.Franklin to DEN 22 for 6 yards (21-R.McCreary) [98-J.Simmons].,pass,1,2,16,84,1168,268,Half1
(3:53) 10-B.Nix pass short left to 12-R.Harvey to DEN 21 for -1 yards (29-J.Brownlee).,pass,1,10,16,78,1133,233,Half1
(3:11) (Shotgun) 10-B.Nix pass short middle to 1-E.Engram to DEN 26 for 5 yards (28-Q.Diggs).,pass,1,11,16,79,1091,191,Half1
(2:38) (Shotgun) 10-B.Nix pass short middle to 19-M.Mims to DEN 32 for 6 yards (33-C.Gray).,pass,1,6,16,74,1058,158,Half1
(:49) (Shotgun) 10-B.Nix pass deep left intended for 14-C.Sutton INTERCEPTED by 21-R.McCreary at TEN 46. 21-R.McCreary to TEN 46 for no gain (14-C.Sutton).,pass,1,18,16,76,949,49,Half1
(13:15) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 37 for 5 yards (39-D.Baker).,pass,2,10,7,68,795,795,Half1
(11:52) (Shotgun) 10-B.Nix pass incomplete short left to 28-T.Badie.,pass,2,3,7,61,712,712,Half1
