Date,Team,Opp,Home/Away,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,FD,20+,Sack,Loss,Rate,Opponent_Score,Score
09/08/24,DEN,SEA,Away,42,26,61.9,138,3.3,0,0,2,4.8,25,6,1,2,6,47.5,26,20
09/15/24,DEN,PIT,Home,35,20,57.1,246,7,0,0,2,5.7,49,8,4,2,15,55.2,13,6
09/22/24,DEN,TB,Away,36,25,69.4,216,6,0,0,0,0,31,8,2,0,0,85,7,26
09/29/24,DEN,NYJ,Away,25,12,48,60,2.4,1,4,0,0,29,3,2,0,0,67.9,9,10
10/06/24,DEN,LV,Home,27,19,70.4,206,7.6,2,7.4,0,0,27,9,5,3,26,117.2,18,34
10/13/24,DEN,LAC,Home,33,19,57.6,216,6.5,2,6.1,1,3,37,10,4,2,10,84.9,23,16
10/17/24,DEN,NO,Away,26,16,61.5,164,6.3,0,0,0,0,30,8,3,0,0,79.6,10,33
10/27/24,DEN,CAR,Home,37,28,75.7,284,7.7,3,8.1,0,0,37,15,3,2,17,124.2,14,28
11/03/24,DEN,BAL,Away,33,19,57.6,223,6.8,0,0,1,3,34,9,4,4,28,65.6,41,10
11/10/24,DEN,KC,Away,30,22,73.3,215,7.2,2,6.7,0,0,34,12,3,2,33,115.3,16,14
11/17/24,DEN,ATL,Home,33,28,84.8,307,9.3,4,12.1,0,0,41,14,4,1,12,145,6,38
11/24/24,DEN,LV,Away,42,25,59.5,273,6.5,2,4.8,0,0,37,13,4,1,11,94.6,19,29
12/02/24,DEN,CLE,Home,35,18,51.4,294,8.4,1,2.9,2,5.7,93,11,3,0,0,65.7,32,41
12/15/24,DEN,IND,Home,33,20,60.6,130,3.9,3,9.1,3,9.1,20,5,1,1,9,61.4,13,31
12/19/24,DEN,LAC,Away,40,29,72.5,263,6.6,2,5,0,0,53,14,1,2,18,106.6,34,27
12/28/24,DEN,CIN,Away,31,24,77.4,219,7.1,3,9.7,1,3.2,51,10,2,2,13,114.9,30,24
01/05/25,DEN,KC,Home,29,26,89.7,321,11.1,4,13.8,0,0,47,15,5,0,0,152.4,0,38
