desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(11:58) (Shotgun) 10-B.Nix pass short left to 85-L.Krull to DEN 41 for 6 yards (37-A.Hooker).,pass,Half1,2,1,1.0,,0.0,0.0,6.0,0.0,0.0,0,,,
(11:21) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin pushed ob at TEN 41 for 18 yards (38-L.Sneed).,pass,Half1,2,1,2.0,,1.0,0.0,18.0,0.0,0.0,0,,,
(10:45) 27-J.Dobbins right end to TEN 38 for 3 yards (37-A.Hooker).,run,Half1,2,1,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(10:00) 10-B.Nix pass short left to 14-C.Sutton to TEN 26 for 12 yards (38-L.Sneed).,pass,Half1,2,1,2.0,,1.0,0.0,12.0,0.0,0.0,0,,,
"(9:34) (No Huddle, Shotgun) 10-B.Nix pass short left to 82-A.Trautman to TEN 21 for 5 yards (38-L.Sneed).",pass,Half1,2,1,1.0,,0.0,0.0,5.0,0.0,0.0,0,,,
(8:56) (Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton (38-L.Sneed).,pass,Half1,2,1,2.0,,0.0,0.0,,0.0,0.0,0,,,
(8:53) (Shotgun) 10-B.Nix pass incomplete deep left to 28-T.Badie.,pass,Half1,2,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
(8:47) (Shotgun) 10-B.Nix pass incomplete short right to 28-T.Badie.,pass,Half1,2,1,2.0,,0.0,0.0,,0.0,0.0,0,,,
(8:43) (Shotgun) 10-B.Nix pass incomplete short left to 28-T.Badie [98-J.Simmons].,pass,Half1,2,1,3.0,,0.0,0.0,,1.0,0.0,0,,,
(5:16) (Shotgun) 12-R.Harvey up the middle to DEN 16 for 8 yards (37-A.Hooker; 33-C.Gray).,run,Half1,4,1,1.0,8.0,0.0,0.0,,0.0,0.0,0,,,
(4:32) (Shotgun) 10-B.Nix pass incomplete short right.,pass,Half1,4,1,2.0,,0.0,0.0,,0.0,0.0,0,,,
(4:28) (Shotgun) 10-B.Nix pass short middle to 11-T.Franklin to DEN 22 for 6 yards (21-R.McCreary) [98-J.Simmons].,pass,Half1,4,1,3.0,,1.0,0.0,6.0,0.0,0.0,0,,,
