desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(14:54) 33-J.Williams left tackle to PHI 46 for 7 yards (33-C.DeJean).,run,Half1,1,1,1.0,7.0,0.0,0.0,,0.0,0.0,0,,,
(14:22) (Shotgun) 9-K.Turpin right end to PHI 42 for 4 yards (33-C.DeJean; 53-Z.Baun).,run,Half1,1,1,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(13:47) (Shotgun) 4-D.Prescott pass short right to 3-G.Pickens to PHI 36 for 6 yards (27-Q.Mitchell).,pass,Half1,1,1,1.0,,0.0,0.0,6.0,0.0,0.0,0,,,
(13:04) 33-J.Williams up the middle to PHI 33 for 3 yards (24-A.Mukuba).,run,Half1,1,1,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(12:22) 4-D.Prescott pass deep right to 88-C.Lamb to PHI 1 for 32 yards (8-A.Jackson).,pass,Half1,1,1,3.0,,1.0,0.0,32.0,0.0,0.0,0,,,
"(11:52) 33-J.Williams left guard for 1 yard, TOUCHDOWN.",run,Half1,1,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,J.Williams
(5:48) (Shotgun) 33-J.Williams left guard to DAL 15 for 3 yards (97-M.Ojomo; 53-Z.Baun).,run,Half1,3,1,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(5:07) (Shotgun) 4-D.Prescott pass short left to 88-C.Lamb to DAL 33 for 18 yards (32-R.Blankenship) [97-M.Ojomo].,pass,Half1,3,1,2.0,,1.0,0.0,18.0,0.0,0.0,0,,,
(4:25) 33-J.Williams right guard to DAL 38 for 5 yards (58-J.Hunt; 33-C.DeJean).,run,Half1,3,1,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(3:45) 33-J.Williams left end to DAL 41 for 3 yards (24-A.Mukuba; 30-J.Campbell).,run,Half1,3,1,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(3:01) (Shotgun) 4-D.Prescott pass short left to 88-C.Lamb to PHI 33 for 26 yards (8-A.Jackson).,pass,Half1,3,1,3.0,,1.0,0.0,26.0,0.0,0.0,0,,,
(1:45) (Shotgun) 4-D.Prescott pass short right to 24-M.Sanders to PHI 46 for -3 yards (53-Z.Baun).,pass,Half1,3,1,1.0,,0.0,0.0,-3.0,0.0,0.0,0,,,
(:51) 4-D.Prescott pass incomplete short left to 1-J.Tolbert.,pass,Half1,3,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
(:46) (Shotgun) 33-J.Williams up the middle to PHI 1 for 11 yards (32-R.Blankenship).,run,Half1,3,1,2.0,11.0,0.0,0.0,,0.0,0.0,0,,,
"(15:00) (Shotgun) 33-J.Williams up the middle for 1 yard, TOUCHDOWN.",run,Half1,3,2,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,J.Williams
(6:41) 4-D.Prescott pass short left to 87-J.Ferguson to DAL 34 for 3 yards (32-R.Blankenship).,pass,Half1,5,2,1.0,,0.0,0.0,3.0,0.0,0.0,0,,,
(6:03) (Shotgun) 4-D.Prescott pass short left to 9-K.Turpin pushed ob at 50 for 16 yards (8-A.Jackson).,pass,Half1,5,2,2.0,,1.0,0.0,16.0,0.0,0.0,0,,,
"(5:26) 24-M.Sanders right end to 50 for no gain (3-N.Smith). PENALTY on PHI-3-N.Smith, Taunting, 15 yards, enforced at 50.",run,Half1,5,2,1.0,0.0,0.0,1.0,,0.0,0.0,1,,,
