desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(9:22) 0-J.Gibbs left end to DET 25 for 1 yard (90-L.Van Ness; 52-R.Gary).,run,Half1,2,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(8:39) (Shotgun) 16-J.Goff pass short right to 0-J.Gibbs to DET 27 for 2 yards (25-K.Nixon).,pass,Half1,2,1,2.0,,0.0,0.0,2.0,0.0,0.0,0,,,
(7:52) (Shotgun) 16-J.Goff pass short right to 0-J.Gibbs to DET 25 for -2 yards (90-L.Van Ness).,pass,Half1,2,1,3.0,,0.0,0.0,-2.0,1.0,0.0,0,,,
(3:32) 0-J.Gibbs right end to DET 19 for 14 yards (20-J.Bullard).,run,Half1,4,1,1.0,14.0,0.0,0.0,,0.0,0.0,0,,,
(2:52) 0-J.Gibbs up the middle to DET 24 for 5 yards (29-X.McKinney; 96-C.Wooden).,run,Half1,4,1,2.0,5.0,0.0,0.0,,0.0,0.0,0,,,
"(2:14) 16-J.Goff pass short left to 5-D.Montgomery to DET 22 for -2 yards (7-Q.Walker, 25-K.Nixon).",pass,Half1,4,1,1.0,,0.0,0.0,-2.0,0.0,0.0,0,,,
"(1:33) 16-J.Goff pass deep right to 14-A.St. Brown ran ob at DET 41 for 19 yards. Green Bay challenged the pass completion ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",pass,Half1,4,1,2.0,,1.0,0.0,19.0,0.0,0.0,0,,,
(1:22) 5-D.Montgomery left guard to DET 46 for 5 yards (52-R.Gary).,run,Half1,4,1,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(:45) 5-D.Montgomery up the middle to 50 for 4 yards (55-K.Enagbare; 93-N.Stackhouse).,run,Half1,4,1,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(15:00) 5-D.Montgomery right tackle to GB 48 for 2 yards (55-K.Enagbare; 96-C.Wooden).,run,Half1,4,2,3.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(14:24) (Shotgun) 5-D.Montgomery right guard to GB 49 for -1 yards (96-C.Wooden).,run,Half1,4,2,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
"(13:41) (Shotgun) 16-J.Goff pass short right to 0-J.Gibbs pushed ob at GB 45 for 4 yards (25-K.Nixon). PENALTY on GB-29-X.McKinney, Taunting, 15 yards, enforced at GB 45.",pass,Half1,4,2,2.0,,0.0,1.0,4.0,0.0,0.0,1,,,
(13:16) 1-J.Williams right end ran ob at GB 27 for 3 yards (25-K.Nixon).,run,Half1,4,2,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(12:30) 0-J.Gibbs left end to GB 25 for 2 yards (56-E.Cooper).,run,Half1,4,2,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(11:47) (Shotgun) 16-J.Goff pass short right to 14-A.St. Brown to GB 17 for 8 yards (25-K.Nixon).,pass,Half1,4,2,3.0,,1.0,0.0,8.0,0.0,0.0,0,,,
(11:07) (Shotgun) 16-J.Goff pass short right to 0-J.Gibbs to GB 12 for 5 yards (56-E.Cooper).,pass,Half1,4,2,1.0,,0.0,0.0,5.0,0.0,0.0,0,,,
"(10:20) 0-J.Gibbs right tackle to GB 12 for no gain (56-E.Cooper, 52-R.Gary).",run,Half1,4,2,2.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(9:36) (Shotgun) 16-J.Goff pass incomplete short left to 87-S.LaPorta.,pass,Half1,4,2,3.0,,0.0,0.0,,1.0,0.0,0,,,
(8:29) 16-J.Goff pass short middle to 5-D.Montgomery to DET 35 for 6 yards (56-E.Cooper) [96-C.Wooden].,pass,Half1,6,2,1.0,,0.0,0.0,6.0,0.0,0.0,0,,,
(7:53) (Shotgun) 5-D.Montgomery up the middle to DET 38 for 3 yards (7-Q.Walker; 95-D.Wyatt).,run,Half1,6,2,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(7:16) 16-J.Goff pass short middle to 5-D.Montgomery to DET 45 for 7 yards (20-J.Bullard; 56-E.Cooper).,pass,Half1,6,2,3.0,,1.0,0.0,7.0,0.0,0.0,0,,,
(6:32) 5-D.Montgomery right tackle to GB 49 for 6 yards (7-Q.Walker; 58-I.McDuffie).,run,Half1,6,2,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(5:56) 5-D.Montgomery left guard to GB 47 for 2 yards (7-Q.Walker).,run,Half1,6,2,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(5:12) (Shotgun) 16-J.Goff pass short middle to 14-A.St. Brown to GB 38 for 9 yards (20-J.Bullard).,pass,Half1,6,2,3.0,,1.0,0.0,9.0,0.0,0.0,0,,,
(4:28) 0-J.Gibbs left guard to GB 38 for no gain (7-Q.Walker).,run,Half1,6,2,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(3:52) 16-J.Goff pass short right to 87-S.LaPorta to GB 34 for 4 yards (33-E.Williams).,pass,Half1,6,2,2.0,,0.0,0.0,4.0,0.0,0.0,0,,,
(3:08) (Shotgun) 16-J.Goff pass short left to 1-J.Williams to GB 30 for 4 yards (20-J.Bullard).,pass,Half1,6,2,3.0,,0.0,0.0,4.0,1.0,0.0,0,,,
"(2:24) (Shotgun) 16-J.Goff pass short left to 1-J.Williams to GB 19 for 11 yards (29-X.McKinney). Penalty on GB-20-J.Bullard, Illegal Contact, declined.",pass,Half1,6,2,4.0,,1.0,0.0,11.0,0.0,1.0,0,,,
(2:00) (Shotgun) 16-J.Goff pass incomplete short right.,pass,Half1,6,2,1.0,,0.0,0.0,,0.0,0.0,0,,,
(1:54) (Shotgun) 5-D.Montgomery up the middle to GB 16 for 3 yards (90-L.Van Ness; 95-D.Wyatt).,run,Half1,6,2,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(1:12) (Shotgun) 16-J.Goff pass short right intended for 14-A.St. Brown INTERCEPTED by 33-E.Williams at GB 13. 33-E.Williams to GB 13 for no gain (14-A.St. Brown).,pass,Half1,6,2,3.0,,0.0,0.0,,1.0,0.0,0,,,
(14:56) 16-J.Goff pass short left to 0-J.Gibbs ran ob at DET 37 for 5 yards (58-I.McDuffie).,pass,Half2,9,3,1.0,,0.0,0.0,5.0,0.0,0.0,0,,,
(14:23) 16-J.Goff pass short right to 87-S.LaPorta to GB 31 for 32 yards (29-X.McKinney).,pass,Half2,9,3,2.0,,1.0,0.0,32.0,0.0,0.0,0,,,
(13:34) 16-J.Goff pass short right to 0-J.Gibbs to GB 30 for 1 yard (56-E.Cooper).,pass,Half2,9,3,1.0,,0.0,0.0,1.0,0.0,0.0,0,,,
"(12:50) 0-J.Gibbs left guard to GB 26 for 4 yards (96-C.Wooden, 58-I.McDuffie).",run,Half2,9,3,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
"(12:07) (Shotgun) 16-J.Goff pass short middle to 87-S.LaPorta to GB 10 for 16 yards (29-X.McKinney, 33-E.Williams).",pass,Half2,9,3,3.0,,1.0,0.0,16.0,0.0,0.0,0,,,
(11:19) 16-J.Goff pass incomplete short left to 14-A.St. Brown.,pass,Half2,9,3,1.0,,0.0,0.0,,0.0,0.0,0,,,
(11:10) 0-J.Gibbs right end to GB 16 for -6 yards (25-K.Nixon).,run,Half2,9,3,2.0,-6.0,0.0,0.0,,0.0,0.0,0,,,
(10:25) (Shotgun) 16-J.Goff pass short right to 5-D.Montgomery to GB 9 for 7 yards (56-E.Cooper).,pass,Half2,9,3,3.0,,0.0,0.0,7.0,1.0,0.0,0,,,
(7:39) (Shotgun) 16-J.Goff pass short middle to 0-J.Gibbs to DET 25 for 4 yards (56-E.Cooper; 29-X.McKinney). GB-57-B.Cox was injured during the play.,pass,Half2,11,3,1.0,,0.0,0.0,4.0,0.0,0.0,0,,,
(7:20) 16-J.Goff pass short right to 11-K.Raymond to DET 34 for 9 yards (33-E.Williams; 96-C.Wooden).,pass,Half2,11,3,2.0,,1.0,0.0,9.0,0.0,0.0,0,,,
(6:33) 16-J.Goff pass short middle to 1-J.Williams to DET 37 for 3 yards (20-J.Bullard).,pass,Half2,11,3,1.0,,0.0,0.0,3.0,0.0,0.0,0,,,
(5:46) (Shotgun) 5-D.Montgomery up the middle to DET 38 for 1 yard (52-R.Gary).,run,Half2,11,3,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(5:06) (Shotgun) 16-J.Goff sacked at DET 32 for -6 yards (sack split by 90-L.Van Ness and 52-R.Gary).,pass,Half2,11,3,3.0,,0.0,0.0,,1.0,0.0,0,,,
(15:00) (Shotgun) 16-J.Goff sacked at DET 1 for -7 yards (52-R.Gary).,pass,Half2,13,4,1.0,,0.0,0.0,,0.0,0.0,0,,,
(14:18) 5-D.Montgomery up the middle to DET 2 for 1 yard (56-E.Cooper).,run,Half2,13,4,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
"(13:32) (Shotgun) 5-D.Montgomery up the middle to DET 1 for -1 yards (96-C.Wooden, 52-R.Gary).",run,Half2,13,4,3.0,-1.0,0.0,0.0,,1.0,0.0,0,,,
(7:52) (Shotgun) 16-J.Goff pass short middle to 11-K.Raymond to DET 34 for 7 yards (20-J.Bullard) [95-D.Wyatt].,pass,Half2,15,4,1.0,,0.0,0.0,7.0,0.0,0.0,0,,,
"(7:29) (No Huddle, Shotgun) 16-J.Goff pass short left to 0-J.Gibbs to DET 35 for 1 yard (56-E.Cooper).",pass,Half2,15,4,2.0,,0.0,0.0,1.0,0.0,0.0,0,,,
(6:46) (Shotgun) 16-J.Goff pass incomplete short right to 87-S.LaPorta.,pass,Half2,15,4,3.0,,0.0,0.0,,1.0,0.0,0,,,
(6:42) (Shotgun) 16-J.Goff sacked at DET 27 for -8 yards (95-D.Wyatt).,pass,Half2,15,4,4.0,,0.0,0.0,,0.0,0.0,0,,,
(4:22) (Shotgun) 16-J.Goff pass incomplete deep middle to 11-K.Raymond (7-Q.Walker).,pass,Half2,17,4,1.0,,0.0,0.0,,0.0,0.0,0,,,
(4:16) (Shotgun) 16-J.Goff sacked at DET 31 for -4 yards (1-M.Parsons).,pass,Half2,17,4,2.0,,0.0,0.0,,0.0,0.0,0,,,
(3:26) (Shotgun) 16-J.Goff pass short left to 87-S.LaPorta pushed ob at DET 40 for 9 yards (20-J.Bullard).,pass,Half2,17,4,3.0,,0.0,0.0,9.0,1.0,0.0,0,,,
(3:19) (Shotgun) 16-J.Goff pass short middle to 1-J.Williams to DET 45 for 5 yards (7-Q.Walker).,pass,Half2,17,4,4.0,,1.0,0.0,5.0,0.0,1.0,0,,,
(2:43) (Shotgun) 16-J.Goff pass short left to 14-A.St. Brown pushed ob at GB 41 for 9 yards (24-C.Valentine).,pass,Half2,17,4,1.0,,1.0,0.0,9.0,0.0,0.0,0,,,
(2:36) (Shotgun) 16-J.Goff pass short middle to 87-S.LaPorta to GB 34 for 7 yards (56-E.Cooper; 7-Q.Walker).,pass,Half2,17,4,1.0,,0.0,0.0,7.0,0.0,0.0,0,,,
"(2:12) (No Huddle, Shotgun) 16-J.Goff pass short middle to 0-J.Gibbs to GB 30 for 4 yards (7-Q.Walker).",pass,Half2,17,4,2.0,,1.0,0.0,4.0,0.0,0.0,0,,,
(2:00) (Shotgun) 0-J.Gibbs right end ran ob at GB 31 for -1 yards (7-Q.Walker).,run,Half2,17,4,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(1:55) (Shotgun) 16-J.Goff pass short left to 87-S.LaPorta to GB 20 for 11 yards (20-J.Bullard) [52-R.Gary].,pass,Half2,17,4,2.0,,1.0,0.0,11.0,0.0,0.0,0,,,
"(1:33) (No Huddle, Shotgun) 16-J.Goff pass incomplete short left to 87-S.LaPorta.",pass,Half2,17,4,1.0,,0.0,0.0,,0.0,0.0,0,,,
(1:30) (Shotgun) 16-J.Goff pass incomplete short left to 1-J.Williams [95-D.Wyatt].,pass,Half2,17,4,2.0,,0.0,0.0,,0.0,0.0,0,,,
(1:25) (Shotgun) 16-J.Goff pass short middle to 0-J.Gibbs to GB 13 for 7 yards (56-E.Cooper; 20-J.Bullard).,pass,Half2,17,4,3.0,,0.0,0.0,7.0,1.0,0.0,0,,,
"(1:00) (Shotgun) 16-J.Goff pass incomplete short left to 18-I.TeSlaa. The Replay Official reviewed the incomplete pass ruling, and the play was REVERSED. (Shotgun) 16-J.Goff pass short left to 18-I.TeSlaa for 13 yards, TOUCHDOWN.",pass,Half2,17,4,4.0,,1.0,0.0,13.0,0.0,1.0,0,,,I.TeSlaa
(15:00) 16-J.Goff pass short middle to 14-A.St. Brown to CHI 26 for 34 yards (29-T.Stevenson).,pass,Half1,1,1,1.0,,1.0,0.0,34.0,0.0,0.0,0,,,
"(14:15) (Shotgun) 16-J.Goff pass short right to 87-S.LaPorta to CHI 17 for 9 yards (1-J.Johnson, 53-T.Edwards).",pass,Half1,1,1,1.0,,0.0,0.0,9.0,0.0,0.0,0,,,
(13:38) 0-J.Gibbs left tackle to CHI 11 for 6 yards (53-T.Edwards; 9-J.Brisker).,run,Half1,1,1,2.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(12:58) 0-J.Gibbs up the middle to CHI 6 for 5 yards (29-T.Stevenson; 53-T.Edwards).,run,Half1,1,1,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
"(12:17) 0-J.Gibbs left end for 6 yards, TOUCHDOWN.",run,Half1,1,1,2.0,6.0,0.0,0.0,,0.0,0.0,0,,,J.Gibbs
(8:25) 16-J.Goff pass deep left to 14-A.St. Brown to DET 46 for 16 yards (1-J.Johnson).,pass,Half1,3,1,1.0,,1.0,0.0,16.0,0.0,0.0,0,,,
(7:48) 16-J.Goff pass incomplete deep right to 1-J.Williams.,pass,Half1,3,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
(7:42) (Shotgun) 0-J.Gibbs right end to 50 for 4 yards (24-N.McCloud).,run,Half1,3,1,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(7:06) (Shotgun) 16-J.Goff pass incomplete short right to 87-S.LaPorta [99-G.Dexter].,pass,Half1,3,1,3.0,,0.0,0.0,,1.0,0.0,0,,,
(5:03) 5-D.Montgomery right tackle to CHI 47 for 3 yards (98-M.Sweat; 50-G.Jarrett).,run,Half1,5,1,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(4:01) (Shotgun) 16-J.Goff pass short middle to 11-K.Raymond to CHI 33 for 14 yards (31-K.Byard).,pass,Half1,5,1,2.0,,1.0,0.0,14.0,0.0,0.0,0,,,
"(3:23) 16-J.Goff pass deep middle to 14-A.St. Brown to CHI 1 for 32 yards (29-T.Stevenson, 31-K.Byard).",pass,Half1,5,1,1.0,,1.0,0.0,32.0,0.0,0.0,0,,,
"(2:45) (No Huddle) 5-D.Montgomery up the middle for 1 yard, TOUCHDOWN.",run,Half1,5,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,D.Montgomery
(:31) 0-J.Gibbs left tackle to DET 33 for 1 yard (49-T.Edmunds).,run,Half1,7,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(15:00) 16-J.Goff pass incomplete deep right to 1-J.Williams.,pass,Half1,7,2,2.0,,0.0,0.0,,0.0,0.0,0,,,
(14:54) (Shotgun) 16-J.Goff pass incomplete short left to 14-A.St. Brown.,pass,Half1,7,2,3.0,,0.0,0.0,,1.0,0.0,0,,,
(13:14) 16-J.Goff pass short left to 0-J.Gibbs to CHI 39 for -2 yards (29-T.Stevenson).,pass,Half1,9,2,1.0,,0.0,0.0,-2.0,0.0,0.0,0,,,
(12:37) (Shotgun) 0-J.Gibbs up the middle to CHI 37 for 2 yards (49-T.Edmunds).,run,Half1,9,2,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(12:06) (Shotgun) 16-J.Goff pass incomplete deep middle to 14-A.St. Brown. CHI-1-J.Johnson was injured during the play.,pass,Half1,9,2,3.0,,0.0,0.0,,1.0,0.0,0,,,
