desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(15:00) (Shotgun) 14-S.Darnold pass short middle to 11-J.Smith-Njigba to SF 47 for 18 yards (25-J.Pinnock).,pass,Half1,1,1,1.0,,1.0,0.0,18.0,0.0,0.0,0,,,
(2:37) 14-S.Darnold pass deep right to 11-J.Smith-Njigba ran ob at SF 22 for 21 yards.,pass,Half1,3,1,1.0,,1.0,0.0,21.0,0.0,0.0,0,,,
(11:20) (Shotgun) 14-S.Darnold pass incomplete deep right to 11-J.Smith-Njigba.,pass,Half1,5,2,3.0,,0.0,0.0,,1.0,0.0,0,,,
"(:41) (No Huddle, Shotgun) 14-S.Darnold pass deep middle to 11-J.Smith-Njigba to SEA 48 for 22 yards (36-M.Sigle) [94-Y.Gross-Matos].",pass,Half1,9,2,2.0,,1.0,0.0,22.0,0.0,0.0,0,,,
(:35) (Shotgun) 14-S.Darnold pass incomplete deep left to 11-J.Smith-Njigba.,pass,Half1,9,2,1.0,,0.0,0.0,,0.0,0.0,0,,,
"(1:05) (Shotgun) 14-S.Darnold pass deep middle to 11-J.Smith-Njigba to SF 47 for 16 yards (36-M.Sigle). Penalty on SF-0-R.Green, Defensive Holding, declined.",pass,Half2,14,3,3.0,,1.0,0.0,16.0,0.0,0.0,0,,,
"(15:00) (Shotgun) 14-S.Darnold pass short left to 11-J.Smith-Njigba to SF 43 for 2 yards (91-S.Okuayinonu). FUMBLES (91-S.Okuayinonu), RECOVERED by SF-36-M.Sigle at SF 34.",pass,Half2,14,4,2.0,,0.0,0.0,2.0,0.0,0.0,0,J.Smith-Njigba,,
(9:36) (Shotgun) 14-S.Darnold pass short right to 11-J.Smith-Njigba to SEA 29 for -8 yards (97-N.Bosa).,pass,Half2,16,4,1.0,,0.0,0.0,-8.0,0.0,0.0,0,,,
(8:56) (Shotgun) 14-S.Darnold pass incomplete deep left to 11-J.Smith-Njigba (0-R.Green).,pass,Half2,16,4,2.0,,0.0,0.0,,0.0,0.0,0,,,
"(8:50) (Shotgun) 14-S.Darnold pass short right to 11-J.Smith-Njigba to SEA 32 for 3 yards. FUMBLES, ball out of bounds at SEA 31.",pass,Half2,16,4,3.0,,0.0,0.0,2.0,1.0,0.0,0,J.Smith-Njigba,,
(1:34) (Shotgun) 14-S.Darnold pass short left to 11-J.Smith-Njigba to SEA 46 for 11 yards (25-J.Pinnock).,pass,Half2,20,4,1.0,,1.0,0.0,11.0,0.0,0.0,0,,,
"(1:18) (No Huddle, Shotgun) 14-S.Darnold pass incomplete deep left to 11-J.Smith-Njigba (20-U.Stout, 0-R.Green).",pass,Half2,20,4,1.0,,0.0,0.0,,0.0,0.0,0,,,
(1:13) (Shotgun) 14-S.Darnold pass deep left to 11-J.Smith-Njigba pushed ob at SF 14 for 40 yards (0-R.Green).,pass,Half2,20,4,2.0,,1.0,0.0,40.0,0.0,0.0,0,,,
(13:39) (Shotgun) 14-S.Darnold pass short middle to 11-J.Smith-Njigba to PIT 46 for 15 yards (22-J.Thornhill) [90-T.Watt].,pass,Half1,1,1,3.0,,1.0,0.0,15.0,0.0,0.0,0,,,
(11:16) (Shotgun) 14-S.Darnold pass short middle to 11-J.Smith-Njigba to PIT 21 for 12 yards (41-P.Wilson).,pass,Half1,1,1,3.0,,1.0,0.0,12.0,0.0,0.0,0,,,
(15:00) (Shotgun) 14-S.Darnold pass short right to 11-J.Smith-Njigba to PIT 32 for 2 yards (23-D.Slay).,pass,Half1,5,2,2.0,,0.0,0.0,2.0,0.0,0.0,0,,,
(8:39) (Shotgun) 14-S.Darnold pass short left to 11-J.Smith-Njigba to SEA 38 for 4 yards (22-J.Thornhill).,pass,Half1,7,2,2.0,,0.0,0.0,4.0,0.0,0.0,0,,,
