desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,td_player_name
(2:38) (Shotgun) 10-B.Nix pass short middle to 19-M.Mims to DEN 32 for 6 yards (33-C.Gray).,pass,Half1,4,1,3.0,,1.0,0.0,6.0,0.0,0.0,0,,
"(11:12) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 46 for 7 yards (29-J.Brownlee). PENALTY on TEN-29-J.Brownlee, Face Mask, 15 yards, enforced at DEN 46.",pass,Half2,17,3,3.0,,0.0,1.0,7.0,1.0,0.0,1,,
"(2:58) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 47 for -1 yards (50-C.Barton). PENALTY on TEN-98-J.Simmons, Unnecessary Roughness, 15 yards, enforced at DEN 47.",pass,Half2,26,4,3.0,,0.0,1.0,-1.0,1.0,0.0,1,,
(1:05) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete deep right to 19-M.Mims.,pass,Half2,26,4,4.0,,0.0,0.0,,0.0,0.0,0,,
"(8:30) (Shotgun) 10-B.Nix pass deep left to 19-M.Mims for 23 yards, TOUCHDOWN.",pass,Half1,2,1,1.0,,1.0,0.0,23.0,0.0,0.0,0,,M.Mims
(14:18) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 46 for 1 yard (20-N.Cross).,pass,Half2,12,3,2.0,,0.0,0.0,1.0,0.0,0.0,0,,
(6:13) (Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims [91-D.Hand].,pass,Half1,8,2,3.0,,0.0,0.0,,1.0,0.0,0,,
"(1:02) (No Huddle, Shotgun) 10-B.Nix pass incomplete short left to 19-M.Mims.",pass,Half1,10,2,1.0,,0.0,0.0,,0.0,0.0,0,,
"(12:47) (No Huddle, Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims [92-J.Eboigbe].",pass,Half2,15,3,2.0,,0.0,0.0,,0.0,0.0,0,,
(12:41) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at LAC 24 for 4 yards (50-C.Murphy).,pass,Half2,15,3,3.0,,0.0,0.0,4.0,1.0,0.0,0,,
(8:23) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 38 for 5 yards (23-D.Hill).,pass,Half1,2,1,2.0,,0.0,0.0,5.0,0.0,0.0,0,,
(11:52) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at DEN 31 for 11 yards (22-G.Stone; 20-D.Turner).,pass,Half1,6,2,1.0,,1.0,0.0,11.0,0.0,0.0,0,,
"(8:52) 19-M.Mims left end for 16 yards, TOUCHDOWN.",run,Half1,6,2,1.0,16.0,0.0,0.0,,0.0,0.0,0,,M.Mims
(:33) (Shotgun) 10-B.Nix pass deep left to 19-M.Mims to CIN 39 for 28 yards (22-G.Stone).,pass,Half1,10,2,3.0,,1.0,0.0,28.0,0.0,0.0,0,,
(14:54) (Shotgun) 10-B.Nix pass short left to 19-M.Mims to DEN 38 for 8 yards (23-D.Hill).,pass,Half2,12,3,1.0,,0.0,0.0,8.0,0.0,0.0,0,,
(7:07) (Shotgun) 10-B.Nix pass short left to 19-M.Mims to DEN 45 for 5 yards (22-G.Stone).,pass,Half2,14,3,3.0,,0.0,0.0,5.0,1.0,0.0,0,,
(9:09) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to CIN 44 for 12 yards (28-J.Newton; 55-L.Wilson).,pass,Half2,18,4,3.0,,1.0,0.0,12.0,0.0,0.0,0,,
(12:08) 19-M.Mims right end to DEN 40 for 9 yards (32-R.Blankenship).,run,Half1,3,1,1.0,9.0,0.0,0.0,,0.0,0.0,0,,
(10:51) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 46 for 4 yards (27-Q.Mitchell).,pass,Half1,3,1,1.0,,0.0,0.0,4.0,0.0,0.0,0,,
(:21) (Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims.,pass,Half1,11,2,3.0,,0.0,0.0,,1.0,0.0,0,,
(8:16) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to PHI 42 for 6 yards (53-Z.Baun).,pass,Half2,14,3,3.0,,0.0,0.0,6.0,1.0,0.0,0,,
(3:56) (Shotgun) 10-B.Nix pass incomplete short right to 19-M.Mims.,pass,Half2,16,3,3.0,,0.0,0.0,,1.0,0.0,0,,
(1:29) (Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims.,pass,Half2,18,3,1.0,,0.0,0.0,,0.0,0.0,0,,
(1:03) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at NYJ 32 for 4 yards (1-A.Gardner).,pass,Half1,5,1,2.0,,0.0,0.0,4.0,0.0,0.0,0,,
(13:24) 10-B.Nix pass incomplete deep middle to 19-M.Mims.,pass,Half1,7,2,1.0,,0.0,0.0,,0.0,0.0,0,,
(8:15) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at NYJ 34 for 26 yards (8-A.Cisco).,pass,Half2,20,4,3.0,,1.0,0.0,26.0,0.0,0.0,0,,
"(3:25) (Shotgun) 19-M.Mims up the middle to DEN 17 for -2 yards (21-B.Stephens, 95-Q.Williams). FUMBLES (95-Q.Williams), and recovers at DEN 17.",run,Half2,22,4,2.0,-2.0,0.0,0.0,,0.0,0.0,0,M.Mims,
