desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(12:11) 23-K.Williams up the middle to LA 37 for 4 yards (48-C.Harris).,run,Half1,2,1,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(9:56) 23-K.Williams right end to HOU 47 for no gain (22-J.Smith; 91-F.Fatukasi).,run,Half1,2,1,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
"(9:13) 12-P.Nacua left end to HOU 46 for 1 yard (2-C.Bullock, 95-D.Barnett).",run,Half1,2,1,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(:59) 23-K.Williams left guard to LA 28 for 3 yards (4-K.Lassiter).,run,Half1,4,1,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(14:20) (Shotgun) 23-K.Williams up the middle to HOU 40 for 7 yards (0-A.Al-Shaair).,run,Half1,4,2,2.0,7.0,0.0,0.0,,0.0,0.0,0,,,
"(11:05) (Shotgun) 9-M.Stafford FUMBLES (Aborted) at LA 20, and recovers at LA 11. 9-M.Stafford to LA 7 for -4 yards (51-W.Anderson).",run,Half1,6,2,3.0,0.0,0.0,0.0,,1.0,0.0,0,M.Stafford,,
(4:47) (Shotgun) 23-K.Williams up the middle to LA 40 for 5 yards (91-F.Fatukasi). ** Injury Update: LA-12-P.Nacua has returned to the game.,run,Half1,8,2,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(3:25) 23-K.Williams left guard to HOU 40 for 1 yard (92-D.Horton).,run,Half1,8,2,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(2:43) 23-K.Williams up the middle pushed ob at HOU 31 for 9 yards (0-A.Al-Shaair; 8-C.Gardner-Johnson).,run,Half1,8,2,2.0,9.0,0.0,0.0,,0.0,0.0,0,,,
(1:52) 88-J.Whittington right end pushed ob at HOU 2 for 5 yards (24-D.Stingley).,run,Half1,8,2,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(1:48) 23-K.Williams left guard to HOU 1 for 1 yard (0-A.Al-Shaair; 4-K.Lassiter).,run,Half1,8,2,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(1:42) 9-M.Stafford up the middle to HOU 1 for no gain (4-K.Lassiter).,run,Half1,8,2,3.0,0.0,0.0,0.0,,1.0,0.0,0,,,
"(:57) 23-K.Williams left tackle for 1 yard, TOUCHDOWN.",run,Half1,8,2,4.0,1.0,0.0,0.0,,0.0,1.0,0,,,K.Williams
(13:55) 23-K.Williams right tackle to LA 46 for 2 yards (90-S.Rankins).,run,Half2,10,3,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(8:23) 23-K.Williams right guard to LA 47 for 6 yards (90-S.Rankins; 55-D.Hunter).,run,Half2,12,3,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(7:20) (Shotgun) 23-K.Williams right tackle to LA 40 for no gain (51-W.Anderson).,run,Half2,12,3,3.0,0.0,0.0,0.0,,1.0,0.0,0,,,
(:40) 22-B.Corum right guard to LA 32 for 2 yards (39-H.To'oTo'o).,run,Half2,14,3,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(7:48) 23-K.Williams up the middle to HOU 48 for 4 yards (55-D.Hunter).,run,Half2,16,4,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(6:26) 23-K.Williams left guard to HOU 18 for 5 yards (5-J.Pitre).,run,Half2,16,4,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(5:44) 23-K.Williams up the middle to HOU 14 for 4 yards (5-J.Pitre).,run,Half2,16,4,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(5:00) 23-K.Williams left guard to HOU 12 for 2 yards (4-K.Lassiter; 55-D.Hunter).,run,Half2,16,4,3.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(1:38) 23-K.Williams up the middle to LA 18 for 4 yards (5-J.Pitre).,run,Half2,18,4,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(1:33) 23-K.Williams left guard to LA 26 for 8 yards (8-C.Gardner-Johnson; 0-A.Al-Shaair).,run,Half2,18,4,2.0,8.0,0.0,0.0,,0.0,0.0,0,,,
(12:02) 23-K.Williams left tackle to LA 31 for 3 yards (29-J.Brownlee; 21-R.McCreary).,run,Half1,2,1,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(10:44) 23-K.Williams up the middle to TEN 49 for 5 yards (98-J.Simmons; 49-A.Key).,run,Half1,2,1,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
"(9:28) (No Huddle, Shotgun) 23-K.Williams right tackle to TEN 45 for 1 yard (29-J.Brownlee).",run,Half1,2,1,3.0,1.0,0.0,0.0,,1.0,0.0,0,,,
"(8:48) 12-P.Nacua left end for 45 yards, TOUCHDOWN.",run,Half1,2,1,4.0,45.0,0.0,0.0,,0.0,1.0,0,,,P.Nacua
(6:39) 23-K.Williams right tackle to LA 11 for 1 yard (97-J.Lynch; 29-J.Brownlee).,run,Half1,4,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(4:43) 23-K.Williams right end to LA 31 for 4 yards (33-C.Gray).,run,Half1,4,1,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(4:01) 23-K.Williams right guard to LA 34 for 3 yards (98-J.Simmons).,run,Half1,4,1,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(8:22) 22-B.Corum right tackle to TEN 3 for 4 yards (37-A.Hooker).,run,Half1,6,2,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(3:50) 23-K.Williams left tackle to LA 10 for 1 yard (50-C.Barton; 21-R.McCreary).,run,Half1,8,2,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(14:07) 23-K.Williams left tackle to TEN 45 for 1 yard (90-S.Tuttle).,run,Half2,12,3,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(12:24) 23-K.Williams left tackle to TEN 12 for 7 yards (50-C.Barton; 21-R.McCreary).,run,Half2,12,3,1.0,7.0,0.0,0.0,,0.0,0.0,0,,,
(11:45) 23-K.Williams left guard to TEN 9 for 3 yards (45-D.Jones).,run,Half2,12,3,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(2:06) 22-B.Corum right end to TEN 8 for 15 yards (37-A.Hooker).,run,Half2,14,3,1.0,15.0,0.0,0.0,,0.0,0.0,0,,,
(:03) 23-K.Williams right guard to LA 28 for 2 yards (25-X.Woods).,run,Half2,16,3,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
"(13:35) 23-K.Williams right tackle to LA 46 for -1 yards (45-D.Jones, 7-O.Oladejo).",run,Half2,16,4,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
"(11:09) 23-K.Williams left end to TEN 18 for 3 yards (39-D.Baker, 69-S.Joseph).",run,Half2,18,4,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(9:02) (Shotgun) 22-B.Corum up the middle to LA 49 for 15 yards (29-J.Brownlee; 25-X.Woods).,run,Half2,20,4,2.0,15.0,0.0,0.0,,0.0,0.0,0,,,
(7:38) 22-B.Corum left guard to TEN 2 for 9 yards (38-L.Sneed).,run,Half2,20,4,1.0,9.0,0.0,0.0,,0.0,0.0,0,,,
"(6:48) 22-B.Corum up the middle for 1 yard, TOUCHDOWN.",run,Half2,20,4,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,B.Corum
(2:39) 23-K.Williams up the middle to TEN 29 for 12 yards (38-L.Sneed; 37-A.Hooker).,run,Half2,22,4,1.0,12.0,0.0,0.0,,0.0,0.0,0,,,
(2:31) 23-K.Williams left tackle to TEN 29 for no gain (50-C.Barton; 7-O.Oladejo).,run,Half2,22,4,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
"(2:25) 23-K.Williams right tackle to TEN 14 for 15 yards (33-C.Gray). PENALTY on TEN-33-C.Gray, Horse Collar Tackle, 7 yards, enforced at TEN 14.",run,Half2,22,4,2.0,15.0,0.0,1.0,,0.0,0.0,1,,,
(2:17) 23-K.Williams up the middle to TEN 1 for 6 yards (39-D.Baker; 33-C.Gray).,run,Half2,22,4,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(14:54) 23-K.Williams up the middle to LA 28 for 5 yards (90-J.Davis).,run,Half1,1,1,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(8:01) 23-K.Williams right tackle to LA 36 for 6 yards (90-J.Davis).,run,Half1,3,1,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
