desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(15:00) (Shotgun) 14-S.Darnold pass short middle to 11-J.Smith-Njigba to SF 47 for 18 yards (25-J.Pinnock).,pass,Half1,1,1,1.0,,1.0,0.0,18.0,0.0,0.0,0,,,
(14:21) 9-K.Walker right end to SF 43 for 4 yards (2-D.Lenoir).,run,Half1,1,1,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(13:42) (Shotgun) 6-J.Milroe up the middle to SF 42 for 1 yard (92-J.Elliott; 57-L.Gifford).,run,Half1,1,1,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(13:04) (Shotgun) 14-S.Darnold pass short right to 88-A.Barner to SF 42 for no gain (36-M.Sigle) [97-N.Bosa].,pass,Half1,1,1,3.0,,0.0,0.0,0.0,1.0,0.0,0,,,
"(12:19) (No Huddle, Shotgun) PENALTY on SEA, Delay of Game, 5 yards, enforced at SF 42 - No Play.",no_play,Half1,1,1,4.0,,0.0,0.0,,0.0,0.0,1,,,
(3:37) 26-Z.Charbonnet right end to SEA 37 for 6 yards (25-J.Pinnock).,run,Half1,3,1,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
"(3:00) 26-Z.Charbonnet left tackle to SEA 42 for 5 yards (54-F.Warner; 95-A.Collins). PENALTY on SF-2-D.Lenoir, Unnecessary Roughness, 15 yards, enforced at SEA 42.",run,Half1,3,1,2.0,5.0,0.0,1.0,,0.0,0.0,1,,,
(2:37) 14-S.Darnold pass deep right to 11-J.Smith-Njigba ran ob at SF 22 for 21 yards.,pass,Half1,3,1,1.0,,1.0,0.0,21.0,0.0,0.0,0,,,
(2:06) 26-Z.Charbonnet right end pushed ob at SF 17 for 5 yards (36-M.Sigle). SF-54-F.Warner was injured during the play.,run,Half1,3,1,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(1:43) (Shotgun) 9-K.Walker right guard to SF 13 for 4 yards (36-M.Sigle).,run,Half1,3,1,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(1:09) (Shotgun) Direct snap to 88-A.Barner. 88-A.Barner up the middle to SF 11 for 2 yards (48-T.Bethune; 57-L.Gifford).,run,Half1,3,1,3.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(:22) 26-Z.Charbonnet up the middle to SF 7 for 4 yards (0-R.Green; 36-M.Sigle).,run,Half1,3,1,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(15:00) 26-Z.Charbonnet up the middle to SF 3 for 4 yards (92-J.Elliott; 98-M.Williams). ** Injury Update: SF-54-F.Warner has returned to the game.,run,Half1,3,2,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
"(14:26) 26-Z.Charbonnet left guard to SF 4 for -1 yards (53-D.Winters, 54-F.Warner).",run,Half1,3,2,3.0,-1.0,0.0,0.0,,1.0,0.0,0,,,
"(13:46) (Shotgun) 14-S.Darnold pass incomplete short left to 10-C.Kupp [97-N.Bosa]. PENALTY on SF-20-U.Stout, Defensive Pass Interference, 3 yards, enforced at SF 4 - No Play.",no_play,Half1,3,2,4.0,,0.0,1.0,,0.0,0.0,1,,,
"(13:41) 74-J.Jones reported in as eligible. 26-Z.Charbonnet left guard for 1 yard, TOUCHDOWN.",run,Half1,3,2,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,Z.Charbonnet
(12:06) 9-K.Walker right end to SEA 34 for -1 yards (54-F.Warner).,run,Half1,5,2,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(11:23) (Shotgun) 14-S.Darnold pass incomplete short right to 88-A.Barner.,pass,Half1,5,2,2.0,,0.0,0.0,,0.0,0.0,0,,,
