desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,td_player_name
(11:21) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin pushed ob at TEN 41 for 18 yards (38-L.Sneed).,pass,Half1,2,1,2.0,,1.0,0.0,18.0,0.0,0.0,0,,
(4:28) (Shotgun) 10-B.Nix pass short middle to 11-T.Franklin to DEN 22 for 6 yards (21-R.McCreary) [98-J.Simmons].,pass,Half1,4,1,3.0,,1.0,0.0,6.0,0.0,0.0,0,,
(13:15) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 37 for 5 yards (39-D.Baker).,pass,Half1,6,2,1.0,,0.0,0.0,5.0,0.0,0.0,0,,
(14:16) (Shotgun) 10-B.Nix pass short right intended for 11-T.Franklin INTERCEPTED by 25-X.Woods [98-J.Simmons] at DEN 42. 25-X.Woods ran ob at DEN 26 for 16 yards (77-Q.Meinerz; 60-L.Wattenberg).,pass,Half2,15,3,2.0,,0.0,0.0,,0.0,0.0,0,,
(6:35) (Shotgun) 10-B.Nix pass incomplete short middle to 11-T.Franklin.,pass,Half2,24,4,1.0,,0.0,0.0,,0.0,0.0,0,,
"(3:26) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 33 for 15 yards (33-C.Gray). PENALTY on TEN-37-A.Hooker, Face Mask, 15 yards, enforced at DEN 33.",pass,Half2,26,4,1.0,,1.0,1.0,15.0,0.0,0.0,1,,
(14:05) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 30 for -3 yards (23-K.Moore).,pass,Half1,6,2,1.0,,0.0,0.0,-3.0,0.0,0.0,0,,
"(13:39) (No Huddle, Shotgun) 10-B.Nix pass deep left to 11-T.Franklin ran ob at IND 28 for 42 yards.",pass,Half1,6,2,2.0,,1.0,0.0,42.0,0.0,0.0,0,,
(11:50) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 2 for 16 yards (0-C.Bynum).,pass,Half1,6,2,1.0,,1.0,0.0,16.0,0.0,0.0,0,,
"(10:46) 10-B.Nix pass short right to 11-T.Franklin for 3 yards, TOUCHDOWN.",pass,Half1,6,2,2.0,,1.0,0.0,3.0,0.0,0.0,0,,T.Franklin
(7:28) 11-T.Franklin right end to IND 39 for 11 yards (29-M.Blackmon).,run,Half1,8,2,1.0,11.0,0.0,0.0,,0.0,0.0,0,,
(5:19) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 26 for 3 yards (20-N.Cross; 4-X.Howard).,pass,Half1,8,2,1.0,,0.0,0.0,3.0,0.0,0.0,0,,
(1:25) (Shotgun) 10-B.Nix pass short middle to 11-T.Franklin to DEN 36 for 4 yards (20-N.Cross).,pass,Half1,10,2,1.0,,0.0,0.0,4.0,0.0,0.0,0,,
"(:33) (No Huddle, Shotgun) 10-B.Nix pass incomplete deep middle to 11-T.Franklin.",pass,Half1,10,2,3.0,,0.0,0.0,,1.0,0.0,0,,
"(12:01) (No Huddle, Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 5 for 9 yards (44-Z.Franklin).",pass,Half2,12,3,1.0,,0.0,0.0,9.0,0.0,0.0,0,,
(3:55) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to IND 24 for 15 yards (99-D.Buckner).,pass,Half2,18,4,3.0,,0.0,0.0,15.0,1.0,0.0,0,,
"(1:26) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 11-T.Franklin (91-D.Hand).",pass,Half1,10,2,2.0,,0.0,0.0,,0.0,0.0,0,,
(5:29) 10-B.Nix pass short left to 11-T.Franklin to DEN 35 for 1 yard (43-T.Dye; 3-D.James).,pass,Half2,17,3,1.0,,0.0,0.0,1.0,0.0,0.0,0,,
(12:28) (Shotgun) 10-B.Nix pass incomplete short right to 11-T.Franklin (23-T.Jefferson).,pass,Half2,19,4,3.0,,0.0,0.0,,1.0,0.0,0,,
(6:42) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 17 for 7 yards (32-A.Gilman).,pass,Half2,21,4,2.0,,0.0,0.0,7.0,0.0,0.0,0,,
(3:49) 10-B.Nix pass incomplete deep right to 11-T.Franklin.,pass,Half1,4,1,2.0,,0.0,0.0,,0.0,0.0,0,,
(5:03) (Shotgun) 10-B.Nix pass deep middle to 11-T.Franklin to CIN 24 for 23 yards (55-L.Wilson).,pass,Half1,8,2,2.0,,1.0,0.0,23.0,0.0,0.0,0,,
"(4:06) (No Huddle, Shotgun) 10-B.Nix pass short left to 11-T.Franklin to CIN 11 for 6 yards (20-D.Turner, 22-G.Stone).",pass,Half1,8,2,2.0,,1.0,0.0,6.0,0.0,0.0,0,,
"(2:04) 10-B.Nix pass short right intended for 11-T.Franklin INTERCEPTED by 44-D.Knight at CIN -5. Touchback. The Replay Official reviewed the interception ruling, and the play was Upheld. The ruling on the field stands.",pass,Half1,8,2,4.0,,0.0,0.0,,0.0,0.0,0,,
"(:49) (No Huddle, Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 33 for 11 yards (20-D.Turner). Penalty on CIN-44-D.Knight, Defensive Holding, declined.",pass,Half1,10,2,2.0,,1.0,0.0,11.0,0.0,0.0,0,,
(:38) (Shotgun) 10-B.Nix pass incomplete deep right to 11-T.Franklin.,pass,Half1,10,2,2.0,,0.0,0.0,,0.0,0.0,0,,
