desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(10:00) 10-B.Nix pass short left to 14-C.Sutton to TEN 26 for 12 yards (38-L.Sneed).,pass,Half1,2,1,2.0,,1.0,0.0,12.0,0.0,0.0,0,,,
(8:56) (Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton (38-L.Sneed).,pass,Half1,2,1,2.0,,0.0,0.0,,0.0,0.0,0,,,
(:49) (Shotgun) 10-B.Nix pass deep left intended for 14-C.Sutton INTERCEPTED by 21-R.McCreary at TEN 46. 21-R.McCreary to TEN 46 for no gain (14-C.Sutton).,pass,Half1,4,1,2.0,,0.0,0.0,,0.0,0.0,0,,,
"(:22) (Shotgun) 10-B.Nix pass deep left to 14-C.Sutton for 22 yards, TOUCHDOWN.",pass,Half1,12,2,1.0,,1.0,0.0,22.0,0.0,0.0,0,,,C.Sutton
(9:02) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton pushed ob at TEN 28 for 8 yards (29-J.Brownlee).,pass,Half2,17,3,3.0,,1.0,0.0,8.0,0.0,0.0,0,,,
(5:46) (Shotgun) 10-B.Nix pass short middle to 14-C.Sutton to TEN 10 for 5 yards (50-C.Barton).,pass,Half2,17,3,2.0,,0.0,0.0,5.0,0.0,0.0,0,,,
(:21) (Shotgun) 10-B.Nix pass incomplete deep left to 14-C.Sutton (29-J.Brownlee).,pass,Half2,19,3,2.0,,0.0,0.0,,0.0,0.0,0,,,
(8:24) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to TEN 19 for 6 yards (28-Q.Diggs). ** Injury Update: TEN-39-D.Baker has returned to the game.,pass,Half2,22,4,2.0,,1.0,0.0,6.0,0.0,0.0,0,,,
"(5:48) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 47 for 9 yards (21-R.McCreary). Tennessee challenged the first down ruling, and the play was REVERSED. (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 46 for 8 yards (21-R.McCreary).",pass,Half2,24,4,3.0,,0.0,0.0,8.0,1.0,0.0,0,,,
(2:56) (Shotgun) 10-B.Nix pass incomplete deep right to 14-C.Sutton.,pass,Half1,4,1,3.0,,0.0,0.0,,1.0,0.0,0,,,
