desc,play_type,game_half,qtr,kickoff_fair_catch,kickoff_attempt,punt_returner_player_name,kickoff_returner_player_name,special_teams_play
"(5:23) 3-J.Hekker punts 50 yards to DEN 8, Center-46-M.Cox, fair catch by 19-M.Mims.",punt,Half1,1,0.0,0.0,M.Mims,,1
"(9:42) 3-J.Hekker punts 65 yards to DEN 18, Center-46-M.Cox. 19-M.Mims pushed ob at DEN 36 for 18 yards (3-J.Hekker).",punt,Half1,2,0.0,0.0,M.Mims,,1
6-J.Slye kicks 66 yards from TEN 35 to DEN -1. 19-M.Mims pushed ob at DEN 27 for 28 yards (92-J.Harrell).,kickoff,Half1,2,0.0,1.0,,M.Mims,1
"(:39) 3-J.Hekker punts 54 yards to DEN 45, Center-46-M.Cox. 19-M.Mims to TEN 38 for 17 yards (88-D.Martin-Robinson).",punt,Half1,2,0.0,0.0,M.Mims,,1
6-J.Slye kicks 65 yards from TEN 35 to DEN 0. 19-M.Mims to DEN 23 for 23 yards (33-C.Gray).,kickoff,Half2,3,0.0,1.0,,M.Mims,1
"6-J.Slye kicks 64 yards from TEN 35 to DEN 1. 19-M.Mims to DEN 32 for 31 yards (92-J.Harrell). PENALTY on TEN-52-J.Williams, Illegal Formation, 5 yards, enforced at DEN 32.",kickoff,Half2,3,0.0,1.0,,M.Mims,1
"(2:34) 3-J.Hekker punts 43 yards to DEN 31, Center-46-M.Cox, fair catch by 19-M.Mims.",punt,Half2,3,0.0,0.0,M.Mims,,1
"(11:53) 3-J.Hekker punts 46 yards to DEN 20, Center-46-M.Cox. 19-M.Mims MUFFS catch, RECOVERED by TEN-54-D.Mausi at DEN 24.",punt,Half2,4,0.0,0.0,M.Mims,,1
"(6:48) 3-J.Hekker punts 48 yards to DEN 25, Center-46-M.Cox. 19-M.Mims to DEN 37 for 12 yards (88-D.Martin-Robinson; 92-J.Harrell).",punt,Half2,4,0.0,0.0,M.Mims,,1
"(4:16) 3-J.Hekker punts 40 yards to DEN 6, Center-46-M.Cox, fair catch by 19-M.Mims.",punt,Half2,4,0.0,0.0,M.Mims,,1
3-S.Shrader kicks 56 yards from IND 35 to DEN 9. 19-M.Mims to DEN 33 for 24 yards (48-J.Bachie; 95-A.Adebawore).,kickoff,Half1,2,0.0,1.0,,M.Mims,1
