desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(14:20) (Shotgun) 30-C.Brown up the middle to CIN 43 for -1 yards (30-D.Bush).,run,Half1,1,1,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(13:09) (Shotgun) 30-C.Brown up the middle to CLE 47 for 5 yards (49-C.Schwesinger; 9-G.Delpit).,run,Half1,1,1,2.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(12:29) (Shotgun) 30-C.Brown right guard to CLE 46 for 1 yard (57-I.McGuire; 94-M.Graham).,run,Half1,1,1,3.0,1.0,0.0,0.0,,0.0,0.0,0,,,
"(11:47) (Shotgun) 30-C.Brown up the middle to CLE 40 for 6 yards (26-M.Harden, 98-A.Huntington).",run,Half1,1,1,2.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(8:54) (Shotgun) 30-C.Brown right guard to CLE 13 for 5 yards (33-R.Hickman; 9-G.Delpit).,run,Half1,1,1,3.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(8:14) 30-C.Brown right guard to CLE 5 for 8 yards (33-R.Hickman).,run,Half1,1,1,1.0,8.0,0.0,0.0,,0.0,0.0,0,,,
"(7:37) (Shotgun) 30-C.Brown right guard for 5 yards, TOUCHDOWN.",run,Half1,1,1,2.0,5.0,0.0,0.0,,0.0,0.0,0,,,C.Brown
(12:36) (Shotgun) 30-C.Brown left guard to CIN 40 for 1 yard (0-G.Newsome).,run,Half1,3,2,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(10:18) (Shotgun) 9-J.Burrow scrambles up the middle to CLE 42 for 2 yards (95-M.Garrett).,run,Half1,3,2,3.0,2.0,0.0,0.0,,1.0,0.0,0,,,
"(8:31) (Shotgun) 30-C.Brown up the middle to CIN 49 for 3 yards (9-G.Delpit, 43-M.Diabate).",run,Half1,5,2,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(7:11) 30-C.Brown right tackle to CLE 25 for 6 yards (49-C.Schwesinger; 30-D.Bush).,run,Half1,5,2,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(6:31) 30-C.Brown right tackle to CLE 23 for 2 yards (57-I.McGuire; 94-M.Graham).,run,Half1,5,2,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(5:05) 30-C.Brown right guard to CLE 1 for 2 yards (91-A.Wright; 30-D.Bush).,run,Half1,5,2,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(:12) (Shotgun) 9-J.Burrow scrambles left end to CIN 35 for 1 yard (57-I.McGuire).,run,Half1,7,2,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(6:32) (Shotgun) 30-C.Brown up the middle to CIN 28 for 3 yards (30-D.Bush; 94-M.Graham).,run,Half2,9,3,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(4:53) (Shotgun) 30-C.Brown right end pushed ob at CLE 33 for 1 yard (49-C.Schwesinger).,run,Half2,11,3,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(3:41) (Shotgun) 30-C.Brown right tackle to CLE 17 for 6 yards (57-I.McGuire).,run,Half2,11,3,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(14:13) (Shotgun) 30-C.Brown right tackle to CIN 40 for 1 yard (49-C.Schwesinger; 93-S.Harris).,run,Half2,13,4,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(2:22) (Shotgun) 30-C.Brown right guard to CIN 25 for -1 yards (95-M.Garrett).,run,Half2,17,4,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(2:13) (Shotgun) 30-C.Brown up the middle to CIN 35 for no gain (30-D.Bush).,run,Half2,17,4,3.0,0.0,0.0,0.0,,1.0,0.0,0,,,
(1:24) 61-C.Ford reported in as eligible. 30-C.Brown right guard to CLE 42 for -2 yards (57-I.McGuire).,run,Half2,19,4,1.0,-2.0,0.0,0.0,,0.0,0.0,0,,,
(1:20) 61-C.Ford reported in as eligible. 30-C.Brown right end to CLE 42 for -5 yards (49-C.Schwesinger).,run,Half2,19,4,2.0,-5.0,0.0,0.0,,0.0,0.0,0,,,
(1:17) 61-C.Ford reported in as eligible. 30-C.Brown left guard to CLE 45 for -3 yards (95-M.Garrett).,run,Half2,19,4,3.0,-3.0,0.0,0.0,,1.0,0.0,0,,,
(10:46) (Shotgun) 30-C.Brown up the middle to CIN 27 for 1 yard (44-T.Walker).,run,Half1,2,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(4:47) (Shotgun) 30-C.Brown right end pushed ob at CIN 31 for 11 yards (42-A.Wingard).,run,Half1,4,1,2.0,11.0,0.0,0.0,,0.0,0.0,0,,,
(:58) 30-C.Brown up the middle to JAX 4 for 1 yard (52-D.Hamilton).,run,Half1,4,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(10:44) (Shotgun) 30-C.Brown right guard to CIN 42 for 3 yards (44-T.Walker; 99-Au.Johnson).,run,Half1,6,2,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(8:31) (Shotgun) 30-C.Brown right end pushed ob at CIN 41 for 6 yards (23-F.Oluokun).,run,Half1,6,2,3.0,6.0,0.0,0.0,,1.0,0.0,0,,,
(6:31) (Shotgun) 30-C.Brown up the middle to JAX 22 for 1 yard (41-J.Hines-Allen; 94-M.Smith).,run,Half1,8,2,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(5:50) (Shotgun) 30-C.Brown up the middle to JAX 20 for 2 yards (52-D.Hamilton).,run,Half1,8,2,3.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(14:57) 30-C.Brown up the middle to CIN 29 for 5 yards (52-D.Hamilton; 44-T.Walker).,run,Half2,12,3,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(14:16) (Shotgun) 30-C.Brown up the middle to CIN 35 for 6 yards (41-J.Hines-Allen).,run,Half2,12,3,2.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(13:03) 30-C.Brown right end to JAX 37 for 3 yards (2-J.Lewis).,run,Half2,12,3,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
"(8:40) (Shotgun) 30-C.Brown left end to CIN 35 for no gain (41-J.Hines-Allen, 3-T.Campbell).",run,Half2,14,3,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(4:00) 30-C.Brown right guard to JAX 44 for 3 yards (44-T.Walker).,run,Half2,16,3,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(3:26) (Shotgun) 30-C.Brown up the middle to JAX 42 for 2 yards (91-A.Armstead; 52-D.Hamilton).,run,Half2,16,3,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(11:37) (Shotgun) 30-C.Brown left end to CIN 35 for -2 yards (23-F.Oluokun).,run,Half2,18,4,1.0,-2.0,0.0,0.0,,0.0,0.0,0,,,
(1:04) (Shotgun) 30-C.Brown up the middle to JAX 1 for 3 yards (41-J.Hines-Allen).,run,Half2,22,4,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(:51) (Shotgun) 30-C.Brown up the middle to JAX 3 for 2 yards (29-E.Murray).,run,Half2,22,4,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
