desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,td_player_name
(13:09) (Shotgun) 7-B.Irving right guard to TB 42 for 2 yards (96-Z.Harrison; 17-A.Ebiketie).,run,Half1,2,1,2.0,2.0,0.0,0.0,,0.0,0.0,0,,
(6:28) 7-B.Irving left guard to TB 8 for no gain (0-D.Deablo; 55-K.Elliss).,run,Half1,4,1,1.0,0.0,0.0,0.0,,0.0,0.0,0,,
(5:40) (Shotgun) 6-B.Mayfield scrambles up the middle to TB 13 for 5 yards (55-K.Elliss).,run,Half1,4,1,3.0,5.0,0.0,0.0,,1.0,0.0,0,,
(3:18) (Shotgun) 7-B.Irving right end to TB 17 for 8 yards (3-J.Bates).,run,Half1,6,1,2.0,8.0,0.0,0.0,,0.0,0.0,0,,
"(1:52) 7-B.Irving left guard to TB 36 for 9 yards (31-X.Watts, 21-M.Hughes).",run,Half1,6,1,1.0,9.0,0.0,0.0,,0.0,0.0,0,,
(1:05) 7-B.Irving left end to TB 36 for no gain (24-A.Terrell).,run,Half1,6,1,3.0,0.0,0.0,0.0,,1.0,0.0,0,,
"(14:36) 7-B.Irving right end to ATL 42 for 11 yards (33-B.Bowman; 3-J.Bates). PENALTY on TB-62-G.Barton, Offensive Holding, 10 yards, enforced at TB 49.",run,Half1,6,2,1.0,2.0,0.0,0.0,,0.0,0.0,1,,
(13:24) (Shotgun) 44-S.Tucker right end to 50 for 2 yards (33-B.Bowman).,run,Half1,6,2,2.0,2.0,0.0,0.0,,0.0,0.0,0,,
(12:42) (Shotgun) 6-B.Mayfield scrambles right end pushed ob at ATL 45 for 5 yards (55-K.Elliss).,run,Half1,6,2,3.0,5.0,0.0,0.0,,0.0,0.0,0,,
"(12:16) (No Huddle, Shotgun) 1-R.White right guard to ATL 34 for 11 yards (31-X.Watts).",run,Half1,6,2,1.0,11.0,0.0,0.0,,0.0,0.0,0,,
"(11:54) (No Huddle, Shotgun) 1-R.White right tackle to ATL 31 for 3 yards (17-A.Ebiketie).",run,Half1,6,2,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
