desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(13:14) (Shotgun) 6-B.Mayfield pass incomplete short right.,pass,Half1,2,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
(13:09) (Shotgun) 7-B.Irving right guard to TB 42 for 2 yards (96-Z.Harrison; 17-A.Ebiketie).,run,Half1,2,1,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(12:25) (Shotgun) 6-B.Mayfield pass incomplete deep left to 17-S.Shepard.,pass,Half1,2,1,3.0,,0.0,0.0,,1.0,0.0,0,,,
(6:28) 7-B.Irving left guard to TB 8 for no gain (0-D.Deablo; 55-K.Elliss).,run,Half1,4,1,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(5:47) (Shotgun) 6-B.Mayfield pass incomplete deep right.,pass,Half1,4,1,2.0,,0.0,0.0,,0.0,0.0,0,,,
(5:40) (Shotgun) 6-B.Mayfield scrambles up the middle to TB 13 for 5 yards (55-K.Elliss).,run,Half1,4,1,3.0,5.0,0.0,0.0,,1.0,0.0,0,,,
(3:24) 6-B.Mayfield pass incomplete deep left to 2-E.Egbuka (31-X.Watts).,pass,Half1,6,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
(3:18) (Shotgun) 7-B.Irving right end to TB 17 for 8 yards (3-J.Bates).,run,Half1,6,1,2.0,8.0,0.0,0.0,,0.0,0.0,0,,,
(2:33) (Shotgun) 6-B.Mayfield pass short right to 17-S.Shepard to TB 27 for 10 yards (33-B.Bowman).,pass,Half1,6,1,3.0,,1.0,0.0,10.0,0.0,0.0,0,,,
"(1:52) 7-B.Irving left guard to TB 36 for 9 yards (31-X.Watts, 21-M.Hughes).",run,Half1,6,1,1.0,9.0,0.0,0.0,,0.0,0.0,0,,,
(1:11) 6-B.Mayfield pass incomplete deep middle to 13-M.Evans (0-D.Deablo).,pass,Half1,6,1,2.0,,0.0,0.0,,0.0,0.0,0,,,
(1:05) 7-B.Irving left end to TB 36 for no gain (24-A.Terrell).,run,Half1,6,1,3.0,0.0,0.0,0.0,,1.0,0.0,0,,,
(:22) 6-B.Mayfield pass short right to 13-M.Evans to TB 42 for 6 yards (24-A.Terrell).,pass,Half1,6,1,4.0,,1.0,0.0,6.0,0.0,1.0,0,,,
"(14:36) 7-B.Irving right end to ATL 42 for 11 yards (33-B.Bowman; 3-J.Bates). PENALTY on TB-62-G.Barton, Offensive Holding, 10 yards, enforced at TB 49.",run,Half1,6,2,1.0,2.0,0.0,0.0,,0.0,0.0,1,,,
(14:06) (Shotgun) 6-B.Mayfield pass short middle to 2-E.Egbuka to TB 48 for 9 yards (31-X.Watts).,pass,Half1,6,2,1.0,,0.0,0.0,9.0,0.0,0.0,0,,,
(13:24) (Shotgun) 44-S.Tucker right end to 50 for 2 yards (33-B.Bowman).,run,Half1,6,2,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(12:42) (Shotgun) 6-B.Mayfield scrambles right end pushed ob at ATL 45 for 5 yards (55-K.Elliss).,run,Half1,6,2,3.0,5.0,0.0,0.0,,0.0,0.0,0,,,
"(12:16) (No Huddle, Shotgun) 1-R.White right guard to ATL 34 for 11 yards (31-X.Watts).",run,Half1,6,2,1.0,11.0,0.0,0.0,,0.0,0.0,0,,,
"(11:54) (No Huddle, Shotgun) 1-R.White right tackle to ATL 31 for 3 yards (17-A.Ebiketie).",run,Half1,6,2,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(11:10) 7-B.Irving left guard to ATL 30 for 1 yard (0-D.Deablo; 98-R.Orhorhoro).,run,Half1,6,2,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(10:25) (Shotgun) 6-B.Mayfield pass incomplete short right to 13-M.Evans (24-A.Terrell).,pass,Half1,6,2,3.0,,0.0,0.0,,1.0,0.0,0,,,
(8:57) 7-B.Irving left end to ATL 49 for 3 yards (24-A.Terrell).,run,Half1,8,2,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(8:15) 6-B.Mayfield pass short right to 13-M.Evans ran ob at ATL 38 for 11 yards.,pass,Half1,8,2,2.0,,1.0,0.0,11.0,0.0,0.0,0,,,
"(7:48) (No Huddle, Shotgun) 6-B.Mayfield pass short left to 13-M.Evans to ATL 30 for 8 yards (24-A.Terrell).",pass,Half1,8,2,1.0,,0.0,0.0,8.0,0.0,0.0,0,,,
(7:06) (Shotgun) 6-B.Mayfield pass incomplete short right to 81-R.Miller (24-A.Terrell).,pass,Half1,8,2,2.0,,0.0,0.0,,0.0,0.0,0,,,
"(7:00) 6-B.Mayfield pass deep left to 2-E.Egbuka for 30 yards, TOUCHDOWN.",pass,Half1,8,2,3.0,,1.0,0.0,30.0,0.0,0.0,0,,,E.Egbuka
(:48) (Shotgun) 6-B.Mayfield pass short left to 2-E.Egbuka to TB 25 for 3 yards (21-M.Hughes; 33-B.Bowman).,pass,Half1,10,2,1.0,,0.0,0.0,3.0,0.0,0.0,0,,,
"(:30) (No Huddle, Shotgun) 6-B.Mayfield pass incomplete short left to 88-C.Otton (55-K.Elliss).",pass,Half1,10,2,2.0,,0.0,0.0,,0.0,0.0,0,,,
(:27) (Shotgun) 6-B.Mayfield sacked at TB 17 for -8 yards (sack split by 33-B.Bowman and 0-D.Deablo).,pass,Half1,10,2,3.0,,0.0,0.0,,1.0,0.0,0,,,
(15:00) 7-B.Irving right end to TB 37 for 2 yards (0-D.Deablo; 3-J.Bates).,run,Half2,12,3,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(14:19) (Shotgun) 6-B.Mayfield pass deep right to 17-S.Shepard to ATL 44 for 19 yards (31-X.Watts).,pass,Half2,12,3,2.0,,1.0,0.0,19.0,0.0,0.0,0,,,
"(13:59) (No Huddle, Shotgun) 6-B.Mayfield pass incomplete short left to 2-E.Egbuka (21-M.Hughes).",pass,Half2,12,3,1.0,,0.0,0.0,,0.0,0.0,0,,,
(13:57) (Shotgun) 6-B.Mayfield pass short middle to 13-M.Evans to ATL 30 for 14 yards (24-A.Terrell).,pass,Half2,12,3,2.0,,1.0,0.0,14.0,0.0,0.0,0,,,
(13:17) 7-B.Irving left tackle to ATL 28 for 2 yards (98-R.Orhorhoro; 0-D.Deablo).,run,Half2,12,3,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
