desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(14:54) 33-J.Williams left tackle to PHI 46 for 7 yards (33-C.DeJean).,run,Half1,1,1,1.0,7.0,0.0,0.0,,0.0,0.0,0,,,
(14:22) (Shotgun) 9-K.Turpin right end to PHI 42 for 4 yards (33-C.DeJean; 53-Z.Baun).,run,Half1,1,1,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(13:04) 33-J.Williams up the middle to PHI 33 for 3 yards (24-A.Mukuba).,run,Half1,1,1,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
"(11:52) 33-J.Williams left guard for 1 yard, TOUCHDOWN.",run,Half1,1,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,J.Williams
(5:48) (Shotgun) 33-J.Williams left guard to DAL 15 for 3 yards (97-M.Ojomo; 53-Z.Baun).,run,Half1,3,1,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(4:25) 33-J.Williams right guard to DAL 38 for 5 yards (58-J.Hunt; 33-C.DeJean).,run,Half1,3,1,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(3:45) 33-J.Williams left end to DAL 41 for 3 yards (24-A.Mukuba; 30-J.Campbell).,run,Half1,3,1,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(:46) (Shotgun) 33-J.Williams up the middle to PHI 1 for 11 yards (32-R.Blankenship).,run,Half1,3,1,2.0,11.0,0.0,0.0,,0.0,0.0,0,,,
"(15:00) (Shotgun) 33-J.Williams up the middle for 1 yard, TOUCHDOWN.",run,Half1,3,2,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,J.Williams
"(5:26) 24-M.Sanders right end to 50 for no gain (3-N.Smith). PENALTY on PHI-3-N.Smith, Taunting, 15 yards, enforced at 50.",run,Half1,5,2,1.0,0.0,0.0,1.0,,0.0,0.0,1,,,
(5:03) 4-D.Prescott scrambles left end to PHI 32 for 3 yards (53-Z.Baun).,run,Half1,5,2,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(4:14) (Shotgun) 9-K.Turpin left tackle to PHI 27 for 5 yards (3-N.Smith; 8-A.Jackson).,run,Half1,5,2,2.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(3:33) (Shotgun) 33-J.Williams up the middle to PHI 23 for 4 yards (53-Z.Baun).,run,Half1,5,2,3.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(8:22) 33-J.Williams left guard to DAL 35 for 6 yards (33-C.DeJean).,run,Half2,9,3,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(7:48) 33-J.Williams up the middle to DAL 38 for 3 yards (90-J.Davis).,run,Half2,9,3,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(7:07) 33-J.Williams left end to DAL 40 for 2 yards (53-Z.Baun; 58-J.Hunt).,run,Half2,9,3,3.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(6:21) (Shotgun) 24-M.Sanders left end to PHI 11 for 49 yards (53-Z.Baun).,run,Half2,9,3,2.0,49.0,0.0,0.0,,0.0,0.0,0,,,
"(5:33) (Shotgun) 24-M.Sanders left guard to PHI 8 for 3 yards (90-J.Davis). PENALTY on DAL-3-G.Pickens, Unnecessary Roughness, 15 yards, enforced at PHI 8.",run,Half2,9,3,1.0,3.0,0.0,0.0,,0.0,0.0,1,,,
