desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(9:22) 0-J.Gibbs left end to DET 25 for 1 yard (90-L.Van Ness; 52-R.Gary).,run,Half1,2,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(3:32) 0-J.Gibbs right end to DET 19 for 14 yards (20-J.Bullard).,run,Half1,4,1,1.0,14.0,0.0,0.0,,0.0,0.0,0,,,
(2:52) 0-J.Gibbs up the middle to DET 24 for 5 yards (29-X.McKinney; 96-C.Wooden).,run,Half1,4,1,2.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(1:22) 5-D.Montgomery left guard to DET 46 for 5 yards (52-R.Gary).,run,Half1,4,1,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(:45) 5-D.Montgomery up the middle to 50 for 4 yards (55-K.Enagbare; 93-N.Stackhouse).,run,Half1,4,1,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(15:00) 5-D.Montgomery right tackle to GB 48 for 2 yards (55-K.Enagbare; 96-C.Wooden).,run,Half1,4,2,3.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(14:24) (Shotgun) 5-D.Montgomery right guard to GB 49 for -1 yards (96-C.Wooden).,run,Half1,4,2,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(13:16) 1-J.Williams right end ran ob at GB 27 for 3 yards (25-K.Nixon).,run,Half1,4,2,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(12:30) 0-J.Gibbs left end to GB 25 for 2 yards (56-E.Cooper).,run,Half1,4,2,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
"(10:20) 0-J.Gibbs right tackle to GB 12 for no gain (56-E.Cooper, 52-R.Gary).",run,Half1,4,2,2.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(7:53) (Shotgun) 5-D.Montgomery up the middle to DET 38 for 3 yards (7-Q.Walker; 95-D.Wyatt).,run,Half1,6,2,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(6:32) 5-D.Montgomery right tackle to GB 49 for 6 yards (7-Q.Walker; 58-I.McDuffie).,run,Half1,6,2,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(5:56) 5-D.Montgomery left guard to GB 47 for 2 yards (7-Q.Walker).,run,Half1,6,2,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
