desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(12:49) 9-M.Stafford pass short left to 12-P.Nacua pushed ob at LA 33 for 4 yards (8-C.Gardner-Johnson).,pass,Half1,2,1,1.0,,0.0,0.0,4.0,0.0,0.0,0,,,
(12:11) 23-K.Williams up the middle to LA 37 for 4 yards (48-C.Harris).,run,Half1,2,1,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(11:27) (Shotgun) 9-M.Stafford pass short left to 17-D.Adams to LA 40 for 3 yards (24-D.Stingley; 39-H.To'oTo'o). HOU-24-D.Stingley was injured during the play.,pass,Half1,2,1,3.0,,1.0,0.0,3.0,0.0,0.0,0,,,
(11:03) 9-M.Stafford pass short left to 23-K.Williams to LA 43 for 3 yards (98-T.Settle; 4-K.Lassiter) [51-W.Anderson].,pass,Half1,2,1,1.0,,0.0,0.0,3.0,0.0,0.0,0,,,
(10:39) (No Huddle) 9-M.Stafford pass incomplete short right to 23-K.Williams.,pass,Half1,2,1,2.0,,0.0,0.0,,0.0,0.0,0,,,
(10:33) (Shotgun) 9-M.Stafford pass short middle to 12-P.Nacua to HOU 47 for 10 yards (2-C.Bullock).,pass,Half1,2,1,3.0,,1.0,0.0,10.0,0.0,0.0,0,,,
(9:56) 23-K.Williams right end to HOU 47 for no gain (22-J.Smith; 91-F.Fatukasi).,run,Half1,2,1,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
"(9:13) 12-P.Nacua left end to HOU 46 for 1 yard (2-C.Bullock, 95-D.Barnett).",run,Half1,2,1,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(8:27) (Shotgun) 9-M.Stafford pass incomplete short right to 12-P.Nacua. ** Injury Update: HOU-24-D.Stingley has returned to the game.,pass,Half1,2,1,3.0,,0.0,0.0,,1.0,0.0,0,,,
(1:03) (Shotgun) 9-M.Stafford pass incomplete short right to 17-D.Adams (39-H.To'oTo'o).,pass,Half1,4,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
(:59) 23-K.Williams left guard to LA 28 for 3 yards (4-K.Lassiter).,run,Half1,4,1,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
"(:18) (Shotgun) 9-M.Stafford pass short middle to 12-P.Nacua to LA 37 for 9 yards (0-A.Al-Shaair; 39-H.To'oTo'o). LA-12-P.Nacua was injured during the play. PENALTY on HOU-39-H.To'oTo'o, Unnecessary Roughness, 15 yards, enforced at LA 37.",pass,Half1,4,1,3.0,,1.0,1.0,9.0,0.0,0.0,1,,,
"(15:00) 9-M.Stafford pass short right to 84-C.Parkinson to HOU 47 for 1 yard (4-K.Lassiter, 39-H.To'oTo'o).",pass,Half1,4,2,1.0,,0.0,0.0,1.0,0.0,0.0,0,,,
(14:20) (Shotgun) 23-K.Williams up the middle to HOU 40 for 7 yards (0-A.Al-Shaair).,run,Half1,4,2,2.0,7.0,0.0,0.0,,0.0,0.0,0,,,
(13:27) (Shotgun) 9-M.Stafford pass incomplete short right [90-S.Rankins].,pass,Half1,4,2,3.0,,0.0,0.0,,1.0,0.0,0,,,
(11:13) 9-M.Stafford pass incomplete short right to 17-D.Adams.,pass,Half1,6,2,1.0,,0.0,0.0,,0.0,0.0,0,,,
(11:09) (Shotgun) 9-M.Stafford pass incomplete short right to 17-D.Adams.,pass,Half1,6,2,2.0,,0.0,0.0,,0.0,0.0,0,,,
"(11:05) (Shotgun) 9-M.Stafford FUMBLES (Aborted) at LA 20, and recovers at LA 11. 9-M.Stafford to LA 7 for -4 yards (51-W.Anderson).",run,Half1,6,2,3.0,0.0,0.0,0.0,,1.0,0.0,0,M.Stafford,,
(4:47) (Shotgun) 23-K.Williams up the middle to LA 40 for 5 yards (91-F.Fatukasi). ** Injury Update: LA-12-P.Nacua has returned to the game.,run,Half1,8,2,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(4:11) 9-M.Stafford pass deep middle to 12-P.Nacua to HOU 41 for 19 yards (5-J.Pitre; 39-H.To'oTo'o). ** Injury Update: LA-84-C.Parkinson has returned to the game.,pass,Half1,8,2,2.0,,1.0,0.0,19.0,0.0,0.0,0,,,
(3:25) 23-K.Williams left guard to HOU 40 for 1 yard (92-D.Horton).,run,Half1,8,2,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(2:43) 23-K.Williams up the middle pushed ob at HOU 31 for 9 yards (0-A.Al-Shaair; 8-C.Gardner-Johnson).,run,Half1,8,2,2.0,9.0,0.0,0.0,,0.0,0.0,0,,,
(2:00) (Shotgun) 9-M.Stafford pass deep right to 12-P.Nacua to HOU 7 for 24 yards (2-C.Bullock).,pass,Half1,8,2,1.0,,1.0,0.0,24.0,0.0,0.0,0,,,
