desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(14:21) 9-K.Walker right end to SF 43 for 4 yards (2-D.Lenoir).,run,Half1,1,1,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(13:42) (Shotgun) 6-J.Milroe up the middle to SF 42 for 1 yard (92-J.Elliott; 57-L.Gifford).,run,Half1,1,1,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(3:37) 26-Z.Charbonnet right end to SEA 37 for 6 yards (25-J.Pinnock).,run,Half1,3,1,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
"(3:00) 26-Z.Charbonnet left tackle to SEA 42 for 5 yards (54-F.Warner; 95-A.Collins). PENALTY on SF-2-D.Lenoir, Unnecessary Roughness, 15 yards, enforced at SEA 42.",run,Half1,3,1,2.0,5.0,0.0,1.0,,0.0,0.0,1,,,
(2:06) 26-Z.Charbonnet right end pushed ob at SF 17 for 5 yards (36-M.Sigle). SF-54-F.Warner was injured during the play.,run,Half1,3,1,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(1:43) (Shotgun) 9-K.Walker right guard to SF 13 for 4 yards (36-M.Sigle).,run,Half1,3,1,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(1:09) (Shotgun) Direct snap to 88-A.Barner. 88-A.Barner up the middle to SF 11 for 2 yards (48-T.Bethune; 57-L.Gifford).,run,Half1,3,1,3.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(:22) 26-Z.Charbonnet up the middle to SF 7 for 4 yards (0-R.Green; 36-M.Sigle).,run,Half1,3,1,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(15:00) 26-Z.Charbonnet up the middle to SF 3 for 4 yards (92-J.Elliott; 98-M.Williams). ** Injury Update: SF-54-F.Warner has returned to the game.,run,Half1,3,2,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
"(14:26) 26-Z.Charbonnet left guard to SF 4 for -1 yards (53-D.Winters, 54-F.Warner).",run,Half1,3,2,3.0,-1.0,0.0,0.0,,1.0,0.0,0,,,
"(13:41) 74-J.Jones reported in as eligible. 26-Z.Charbonnet left guard for 1 yard, TOUCHDOWN.",run,Half1,3,2,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,Z.Charbonnet
(12:06) 9-K.Walker right end to SEA 34 for -1 yards (54-F.Warner).,run,Half1,5,2,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(7:33) (Shotgun) 9-K.Walker up the middle to SEA 16 for -3 yards (93-K.Davis).,run,Half1,7,2,2.0,-3.0,0.0,0.0,,0.0,0.0,0,,,
(:57) (Shotgun) 26-Z.Charbonnet up the middle to SEA 26 for 6 yards (54-F.Warner).,run,Half1,9,2,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(:25) (Shotgun) 26-Z.Charbonnet up the middle to SF 39 for 4 yards (97-N.Bosa).,run,Half1,9,2,3.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(:12) (Shotgun) 14-S.Darnold right end ran ob at SF 30 for 9 yards (97-N.Bosa).,run,Half1,9,2,2.0,9.0,0.0,0.0,,0.0,0.0,0,,,
(11:26) 9-K.Walker up the middle to SEA 36 for no gain (54-F.Warner; 92-J.Elliott).,run,Half2,12,3,2.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(2:14) (Shotgun) 26-Z.Charbonnet left end ran ob at SEA 37 for 6 yards (25-J.Pinnock).,run,Half2,14,3,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(1:46) 26-Z.Charbonnet left end pushed ob at SEA 37 for no gain (0-R.Green; 54-F.Warner).,run,Half2,14,3,2.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(7:06) 9-K.Walker left end to SF 45 for 8 yards (91-S.Okuayinonu).,run,Half2,18,4,1.0,8.0,0.0,0.0,,0.0,0.0,0,,,
(6:23) 14-S.Darnold scrambles right end ran ob at SF 40 for 5 yards (2-D.Lenoir).,run,Half2,18,4,2.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(5:44) 9-K.Walker right guard to SF 35 for 5 yards (53-D.Winters; 57-L.Gifford).,run,Half2,18,4,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(5:06) 26-Z.Charbonnet left guard to SF 28 for 7 yards (54-F.Warner).,run,Half2,18,4,2.0,7.0,0.0,0.0,,0.0,0.0,0,,,
(4:22) 9-K.Walker left end pushed ob at SF 24 for 4 yards (53-D.Winters).,run,Half2,18,4,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(4:15) 9-K.Walker right guard to SF 25 for -1 yards (53-D.Winters).,run,Half2,18,4,2.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(1:02) (Shotgun) 9-K.Walker left guard to SF 9 for no gain (97-N.Bosa).,run,Half2,20,4,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(14:53) 9-K.Walker left guard to SEA 36 for 1 yard (90-T.Watt; 6-P.Queen).,run,Half1,1,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(13:04) 9-K.Walker right guard to PIT 33 for 13 yards (21-C.Clark).,run,Half1,1,1,1.0,13.0,0.0,0.0,,0.0,0.0,0,,,
(12:30) 9-K.Walker left tackle to PIT 33 for no gain (56-A.Highsmith).,run,Half1,1,1,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(11:57) 26-Z.Charbonnet left end to PIT 33 for no gain (6-P.Queen).,run,Half1,1,1,2.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(2:08) 26-Z.Charbonnet up the middle to SEA 29 for -1 yards (6-P.Queen).,run,Half1,5,1,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(:10) (Shotgun) 26-Z.Charbonnet left guard to PIT 34 for 1 yard (90-T.Watt).,run,Half1,5,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(13:42) Direct snap to 88-A.Barner. 88-A.Barner up the middle to PIT 19 for 2 yards (22-J.Thornhill).,run,Half1,5,2,4.0,2.0,0.0,0.0,,0.0,1.0,0,,,
(12:57) 26-Z.Charbonnet right guard to PIT 17 for 2 yards (97-Ca.Heyward; 90-T.Watt).,run,Half1,5,2,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(10:35) 9-K.Walker left tackle to SEA 39 for 9 yards (22-J.Thornhill; 5-J.Ramsey).,run,Half1,7,2,1.0,9.0,0.0,0.0,,0.0,0.0,0,,,
(9:59) 9-K.Walker left guard to SEA 42 for 3 yards (21-C.Clark).,run,Half1,7,2,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(5:34) (Shotgun) 26-Z.Charbonnet up the middle to PIT 33 for 5 yards (97-Ca.Heyward).,run,Half1,9,2,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
"(5:00) 26-Z.Charbonnet left end to PIT 35 for -2 yards (33-J.Sawyer, 5-J.Ramsey).",run,Half1,9,2,2.0,-2.0,0.0,0.0,,0.0,0.0,0,,,
(4:16) 26-Z.Charbonnet up the middle to PIT 29 for 6 yards (90-T.Watt). PIT-41-P.Wilson was injured during the play.,run,Half1,9,2,3.0,6.0,0.0,0.0,,1.0,0.0,0,,,
(11:11) 9-K.Walker left tackle to SEA 29 for 9 yards (41-P.Wilson).,run,Half2,14,3,1.0,9.0,0.0,0.0,,0.0,0.0,0,,,
(10:40) 9-K.Walker left guard to SEA 44 for 15 yards (97-Ca.Heyward).,run,Half2,14,3,2.0,15.0,0.0,0.0,,0.0,0.0,0,,,
"(10:04) 26-Z.Charbonnet left end to SEA 43 for -1 yards (51-N.Herbig, 6-P.Queen).",run,Half2,14,3,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(7:30) 9-K.Walker up the middle to PIT 12 for 5 yards (94-Y.Black).,run,Half2,14,3,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(6:54) 9-K.Walker up the middle to PIT 7 for 5 yards (94-Y.Black).,run,Half2,14,3,2.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(4:12) 26-Z.Charbonnet right end to SEA 20 for no gain (6-P.Queen).,run,Half2,16,3,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(:56) 9-K.Walker right guard to SEA 19 for 3 yards (33-J.Sawyer).,run,Half2,18,3,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(14:24) 9-K.Walker left tackle to PIT 39 for 20 yards (5-J.Ramsey).,run,Half2,18,4,1.0,20.0,0.0,0.0,,0.0,0.0,0,,,
(13:44) 9-K.Walker left guard to PIT 36 for 3 yards (41-P.Wilson; 96-D.Ekuale).,run,Half2,18,4,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(7:44) 26-Z.Charbonnet left tackle to SEA 27 for no gain (51-N.Herbig; 94-Y.Black). SEA-61-J.Sundell was injured during the play.,run,Half2,21,4,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(7:17) (Shotgun) 26-Z.Charbonnet up the middle to SEA 28 for 1 yard (33-J.Sawyer; 97-Ca.Heyward).,run,Half2,21,4,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(5:07) 26-Z.Charbonnet left guard to PIT 10 for no gain (95-K.Benton; 97-Ca.Heyward).,run,Half2,21,4,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
"(3:47) (Shotgun) 9-K.Walker left end for 19 yards, TOUCHDOWN.",run,Half2,21,4,3.0,19.0,0.0,0.0,,0.0,0.0,0,,,K.Walker
(1:06) 26-Z.Charbonnet left end to SEA 39 for -7 yards (51-N.Herbig).,run,Half2,23,4,1.0,-7.0,0.0,0.0,,0.0,0.0,0,,,
(1:03) 26-Z.Charbonnet left guard to SEA 40 for 1 yard (41-P.Wilson).,run,Half2,23,4,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(:58) 26-Z.Charbonnet right guard to SEA 45 for 5 yards (33-J.Sawyer).,run,Half2,23,4,3.0,5.0,0.0,0.0,,1.0,0.0,0,,,
(12:20) 9-K.Walker right guard to SEA 45 for no gain (94-C.Jordan; 90-B.Bresee).,run,Half1,2,1,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
"(11:09) 9-K.Walker left tackle to NO 25 for 1 yard (20-P.Werner, 93-N.Shepherd).",run,Half1,2,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(10:33) 9-K.Walker left tackle to NO 24 for 1 yard (93-N.Shepherd; 96-C.Granderson).,run,Half1,2,1,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
"(4:27) 9-K.Walker left tackle for 3 yards, TOUCHDOWN. The Replay Official reviewed the runner broke the plane ruling, and the play was Upheld. The ruling on the field stands.",run,Half1,5,1,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,K.Walker
(12:39) 36-G.Holani right tackle to NO 37 for 1 yard (94-C.Jordan; 20-P.Werner). ** Injury Update: NO-21-J.Reid has returned to the game.,run,Half1,7,2,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
"(9:11) 9-K.Walker right guard to NO 13 for 3 yards (94-C.Jordan, 56-D.Davis).",run,Half1,9,2,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
"(7:46) 74-J.Jones reported in as eligible. 9-K.Walker left tackle for 1 yard, TOUCHDOWN.",run,Half1,9,2,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,K.Walker
(2:49) 9-K.Walker up the middle to SEA 42 for no gain (20-P.Werner; 56-D.Davis).,run,Half1,11,2,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(1:52) (Shotgun) 9-K.Walker left end to SEA 45 for -2 yards (93-N.Shepherd).,run,Half1,11,2,1.0,-2.0,0.0,0.0,,0.0,0.0,0,,,
(14:52) 9-K.Walker right guard to SEA 45 for 10 yards (33-J.Sanker).,run,Half2,13,3,1.0,10.0,0.0,0.0,,0.0,0.0,0,,,
"(13:51) 9-K.Walker right guard to NO 30 for 2 yards (56-D.Davis; 93-N.Shepherd). PENALTY on NO-93-N.Shepherd, Defensive Holding, 5 yards, enforced at NO 30.",run,Half2,13,3,1.0,2.0,0.0,1.0,,0.0,0.0,1,,,
(13:05) (Shotgun) 6-J.Milroe right end to NO 32 for 3 yards (20-P.Werner).,run,Half2,13,3,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(12:23) (Shotgun) 9-K.Walker left guard to NO 33 for -1 yards (94-C.Jordan).,run,Half2,13,3,3.0,-1.0,0.0,0.0,,1.0,0.0,0,,,
(9:51) 9-K.Walker right tackle to SEA 42 for 7 yards (20-P.Werner; 33-J.Sanker).,run,Half2,15,3,1.0,7.0,0.0,0.0,,0.0,0.0,0,,,
(9:23) 9-K.Walker right guard to SEA 43 for 1 yard (21-J.Reid).,run,Half2,15,3,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
"(7:27) 9-K.Walker left guard to NO 42 for 1 yard (98-J.Bullard, 56-D.Davis).",run,Half2,15,3,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(6:45) 9-K.Walker left guard pushed ob at NO 32 for 10 yards (33-J.Sanker).,run,Half2,15,3,2.0,10.0,0.0,0.0,,0.0,0.0,0,,,
(5:29) 9-K.Walker left guard to NO 19 for 1 yard (20-P.Werner).,run,Half2,15,3,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(14:53) (Shotgun) 36-G.Holani right guard to SEA 39 for 4 yards (56-D.Davis; 58-C.Rumph).,run,Half2,17,4,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
"(14:19) 36-G.Holani right end to SEA 38 for -1 yards (56-D.Davis, 58-C.Rumph).",run,Half2,17,4,2.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(10:27) 36-G.Holani left guard to SEA 37 for 1 yard (90-B.Bresee; 56-D.Davis).,run,Half2,19,4,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(9:45) (Shotgun) 36-G.Holani up the middle to SEA 42 for 5 yards (96-C.Granderson).,run,Half2,19,4,3.0,5.0,0.0,0.0,,1.0,0.0,0,,,
(7:54) 31-J.Wright up the middle to SEA 48 for 3 yards (20-P.Werner; 90-B.Bresee).,run,Half2,21,4,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(7:10) 31-J.Wright right guard to NO 46 for 6 yards (1-A.Taylor).,run,Half2,21,4,2.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(6:25) 36-G.Holani right tackle to NO 45 for 1 yard (58-C.Rumph).,run,Half2,21,4,3.0,1.0,0.0,0.0,,0.0,0.0,0,,,
